y,z,phi,vy,vz,phi_dot
0,1.2766,0,0,0,0
3.1982E-11,1.2766,-3.2598E-08,3.1982E-09,2.317E-06,-1.6147E-05
1.0412E-09,1.2766,-9.9542E-07,1.0092E-07,3.648E-05,-0.00024417
9.1396E-09,1.2766,-7.209E-06,8.0984E-07,0.00018163,-0.0011671
4.5803E-08,1.2766,-2.8954E-05,3.6663E-06,0.00056422,-0.0034793
1.6592E-07,1.2766,-8.4166E-05,1.2012E-05,0.0013532,-0.0080045
4.8517E-07,1.2766,-0.00019936,3.1925E-05,0.0027548,-0.015624
1.2179E-06,1.2767,-0.0004099,7.327E-05,0.0050079,-0.027217
2.7264E-06,1.2767,-0.00075971,0.00015085,0.008378,-0.043609
5.5833E-06,1.2768,-0.0013005,0.00028569,0.013153,-0.065528
1.0647E-05,1.277,-0.0020907,0.00050635,0.019637,-0.093573
1.9151E-05,1.2772,-0.0031939,0.00085042,0.028146,-0.12819
3.2811E-05,1.2776,-0.0046772,0.001366,0.039002,-0.16964
5.3945E-05,1.278,-0.0066097,0.0021134,0.052529,-0.218
8.5609E-05,1.2786,-0.0090599,0.0031664,0.069047,-0.27316
0.00013175,1.2794,-0.012094,0.0046138,0.088869,-0.3348
0.00019736,1.2804,-0.015776,0.0065611,0.11229,-0.4024
0.00028866,1.2817,-0.02016,0.0091306,0.1396,-0.47528
0.0004133,1.2832,-0.025296,0.012463,0.17106,-0.55255
0.00058047,1.2851,-0.031222,0.016717,0.2069,-0.63317
0.00080116,1.2874,-0.037967,0.022069,0.24734,-0.71596
0.0010883,1.2901,-0.045544,0.028712,0.29255,-0.79959
0.0014568,1.2933,-0.053956,0.036852,0.34268,-0.88264
0.0019239,1.2969,-0.06319,0.04671,0.39783,-0.96359
0.002509,1.3012,-0.073216,0.058512,0.45808,-1.0409
0.0032339,1.3061,-0.08399,0.072489,0.52345,-1.1129
0.0041226,1.3117,-0.09545,0.088872,0.59392,-1.1779
0.0052015,1.318,-0.10752,0.10788,0.66945,-1.2345
0.0064987,1.3251,-0.12011,0.12973,0.74993,-1.2808
0.0080447,1.333,-0.1331,0.1546,0.83522,-1.3155
0.0098711,1.3418,-0.14637,0.18264,0.92512,-1.3371
0.012011,1.3516,-0.15979,0.21399,1.0194,-1.3441
0.014498,1.3622,-0.1732,0.24871,1.1178,-1.3353
0.017366,1.3739,-0.18644,0.28683,1.22,-1.3097
0.020649,1.3866,-0.19934,0.3283,1.3256,-1.2662
0.02438,1.4004,-0.2117,0.37304,1.4343,-1.204
0.028588,1.4153,-0.22335,0.42086,1.5456,-1.1226
0.033303,1.4314,-0.23409,0.47151,1.659,-1.0215
0.03855,1.4485,-0.24372,0.52467,1.774,-0.90036
0.04435,1.4668,-0.25203,0.57995,1.8902,-0.75928
0.050718,1.4863,-0.25884,0.63686,2.0069,-0.59839
0.057667,1.507,-0.26393,0.69486,2.1237,-0.41808
0.0652,1.5288,-0.26713,0.75336,2.2398,-0.21892
0.073318,1.5518,-0.26825,0.81171,2.3548,-0.0017181
0.08201,1.5759,-0.26711,0.86922,2.468,0.23255
0.091262,1.6011,-0.26355,0.92519,2.5787,0.48271
0.10105,1.6275,-0.25741,0.97893,2.6865,0.74742
0.11135,1.6548,-0.24856,1.0297,2.7906,1.0252
0.12212,1.6833,-0.23687,1.077,2.8905,1.3143
0.13332,1.7126,-0.22224,1.1201,2.9856,1.6129
0.1449,1.743,-0.20458,1.1585,3.0753,1.9193
0.15682,1.7741,-0.18384,1.1917,3.1592,2.2313
0.16902,1.8061,-0.15995,1.2195,3.2367,2.5469
0.18143,1.8388,-0.13289,1.2416,3.3073,2.864
0.19401,1.8722,-0.10267,1.2578,3.3707,3.1806
0.20669,1.9062,-0.06929,1.2682,3.4264,3.4943
0.21942,1.9407,-0.032797,1.2729,3.474,3.8032
