Thrust,Torque
0.13243,0
0.13245,-1.0554E-07
0.13253,-7.862E-07
0.13276,-2.4668E-06
0.13318,-5.4262E-06
0.13386,-9.8168E-06
0.13484,-1.5682E-05
0.13617,-2.2971E-05
0.13787,-3.1559E-05
0.13996,-4.1255E-05
0.14248,-5.182E-05
0.14543,-6.2977E-05
0.14882,-7.4423E-05
0.15265,-8.5836E-05
0.1569,-9.6891E-05
0.16157,-0.00010726
0.16664,-0.00011662
0.17208,-0.00012467
0.17787,-0.00013114
0.18397,-0.00013574
0.19035,-0.00013827
0.19696,-0.00013852
0.20378,-0.00013632
0.21074,-0.00013156
0.21781,-0.00012414
0.22493,-0.00011402
0.23206,-0.0001012
0.23915,-8.5699E-05
0.24614,-6.7592E-05
0.25297,-4.6987E-05
0.2596,-2.4028E-05
0.26596,1.1088E-06
0.27198,2.8213E-05
0.27761,5.7049E-05
0.28277,8.7351E-05
0.28741,0.00011884
0.29144,0.0001512
0.2948,0.00018411
0.29742,0.00021726
0.29923,0.00025028
0.30016,0.00028285
0.30016,0.00031461
0.29918,0.00034523
0.29719,0.00037438
0.29415,0.00040174
0.29008,0.00042701
0.28497,0.00044989
0.27885,0.00047015
0.27179,0.00048753
0.26383,0.00050185
0.25507,0.00051293
0.2456,0.00052064
0.23552,0.00052488
0.22494,0.00052561
0.21398,0.0005228
0.20275,0.0005165
0.19136,0.00050677
0.1799,0.00049373
0.16847,0.00047756
0.15715,0.00045844
0.14601,0.00043664
0.1351,0.00041243
0.12447,0.00038614
0.11416,0.00035814
0.10419,0.0003288
0.094582,0.00029854
0.08535,0.0002678
0.076501,0.00023701
0.068039,0.00020663
0.059969,0.0001771
0.052297,0.00014885
0.045027,0.00012231
0.038173,9.7841E-05
0.031748,7.579E-05
0.025775,5.643E-05
0.020284,3.9964E-05
0.015314,2.6509E-05
0.010913,1.6075E-05
0.0071418,8.5533E-06
0.0040725,3.6912E-06
0.0017912,1.0762E-06
0.00039839,1.126E-07
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.00058426,-1.8215E-07
0.0022415,-1.3748E-06
0.0048426,-4.3735E-06
0.0082764,-9.7624E-06
0.012448,-1.7938E-05
0.017278,-2.9132E-05
0.0227,-4.3433E-05
0.028659,-6.0803E-05
0.035112,-8.1102E-05
0.042026,-0.0001041
0.049376,-0.00012949
0.057142,-0.00015692
0.065311,-0.00018598
0.073873,-0.00021623
0.082821,-0.00024723
0.092145,-0.00027851
0.10184,-0.00030959
0.11188,-0.00034003
0.12227,-0.00036939
0.13296,-0.00039724
0.14393,-0.00042319
0.15514,-0.00044689
0.16652,-0.00046801
0.17802,-0.00048628
0.18956,-0.00050144
0.20104,-0.00051331
0.21237,-0.00052174
0.22344,-0.00052662
0.23414,-0.0005279
0.24436,-0.00052556
0.25399,-0.00051964
0.2629,-0.00051022
0.27102,-0.00049741
0.27825,-0.00048136
0.28451,-0.00046227
0.28976,-0.00044037
0.29395,-0.00041591
0.29708,-0.00038917
0.29914,-0.00036046
0.30016,-0.0003301
0.30016,-0.00029842
0.2992,-0.00026578
0.29733,-0.00023253
0.29462,-0.00019903
0.29114,-0.00016563
0.28697,-0.00013267
0.28217,-0.00010049
0.27684,-6.9413E-05
0.27103,-3.9744E-05
0.26482,-1.1759E-05
0.25828,1.4286E-05
0.25148,3.8168E-05
0.24448,5.9693E-05
0.23734,7.8704E-05
0.23012,9.5079E-05
0.22288,0.00010874
0.21567,0.00011963
0.20854,0.00012777
0.20155,0.00013319
0.19473,0.00013597
0.18814,0.00013623
0.18181,0.00013413
0.17578,0.00012988
0.17009,0.00012371
0.16477,0.00011587
0.15984,0.00010666
0.15533,9.64E-05
0.15124,8.5406E-05
0.14758,7.4018E-05
0.14437,6.2574E-05
0.14159,5.1407E-05
0.13924,4.0828E-05
0.13729,3.1126E-05
0.13574,2.2546E-05
0.13454,1.5284E-05
0.13366,9.4699E-06
0.13306,5.1505E-06
0.1327,2.277E-06
0.13251,6.8508E-07
0.13244,7.6661E-08
