y,z,phi,vy,vz,phi_dot
0,0.97281,-1.6593E-06,0,2.0786E-05,-0.00081237
1.2462E-08,0.97281,-4.7766E-05,2.4659E-06,0.00032438,-0.011429
6.5386E-07,0.97282,-0.00032528,2.2057E-05,0.0015956,-0.050617
1.4715E-06,0.97285,-0.0012252,9.7262E-05,0.0048819,-0.13919
2.8954E-06,0.97293,-0.0033302,0.00034137,0.011496,-0.29386
8.0429E-06,0.9731,-0.007353,0.00095167,0.022911,-0.52338
2.2718E-05,0.97341,-0.014045,0.0021811,0.04065,-0.82654
5.6484E-05,0.97393,-0.024091,0.0045861,0.066179,-1.1916
0.00012434,0.97476,-0.038013,0.0088192,0.10081,-1.5972
0.00024929,0.97598,-0.056071,0.015711,0.14558,-2.0135
0.00046371,0.97771,-0.078202,0.026158,0.20123,-2.4052
0.00080936,0.98005,-0.10396,0.041435,0.26808,-2.7335
0.001338,0.98311,-0.13253,0.062667,0.346,-2.9589
0.0021148,0.987,-0.16268,0.090794,0.43442,-3.0445
0.0032116,0.99183,-0.19284,0.12646,0.53227,-2.9583
0.0047026,0.99767,-0.22118,0.16975,0.638,-2.6752
0.0066652,1.0046,-0.24564,0.22006,0.74965,-2.1792
0.0091683,1.0127,-0.26404,0.27604,0.86487,-1.4646
0.01226,1.0219,-0.27422,0.33581,0.981,-0.5366
0.015963,1.0323,-0.27411,0.39631,1.0952,0.58861
0.020265,1.0438,-0.26187,0.45361,1.2043,1.8844
0.025111,1.0564,-0.23597,0.50435,1.3055,3.3148
0.030429,1.0699,-0.19527,0.54578,1.3957,4.8364
0.036109,1.0842,-0.1391,0.57576,1.4724,6.4006
0.042006,1.0993,-0.067292,0.5928,1.5331,7.9562
0.047992,1.1148,0.019821,0.59578,1.5761,9.4524
0.053953,1.1307,0.1214,0.58657,1.6,10.842
0.05979,1.1468,0.23617,0.56826,1.6042,12.085
0.065421,1.1627,0.3625,0.54381,1.5888,13.149
0.070775,1.1785,0.4985,0.51595,1.5546,14.017
0.075815,1.1938,0.64217,0.48729,1.5032,14.682
0.08058,1.2085,0.7915,0.46024,1.4367,15.153
0.085123,1.2225,0.94466,0.43704,1.358,15.454
0.089488,1.2356,1.1001,0.41975,1.2701,15.618
0.093721,1.2478,1.2567,0.40969,1.1762,15.688
0.097863,1.2591,1.4137,0.40512,1.0791,15.707
0.10195,1.2694,1.5708,0.40399,0.98109,15.708
0.10602,1.2787,1.7279,0.40467,0.88281,15.708
0.11011,1.2871,1.885,0.40594,0.78471,15.708
0.11422,1.2944,2.042,0.407,0.68661,15.708
0.11833,1.3008,2.1991,0.40742,0.58851,15.708
0.12245,1.3062,2.3562,0.4072,0.49041,15.708
0.12656,1.3106,2.5133,0.40675,0.39231,15.708
0.13068,1.3141,2.6704,0.40666,0.29421,15.708
0.13479,1.3165,2.8274,0.40666,0.19611,15.708
0.1389,1.318,2.9845,0.40666,0.098005,15.708
0.14301,1.3185,3.1416,0.40666,-9.4654E-05,15.708
0.14712,1.318,3.2987,0.40666,-0.098195,15.708
0.15124,1.3165,3.4558,0.40666,-0.19629,15.708
0.15535,1.314,3.6128,0.40666,-0.29439,15.708
0.15946,1.3106,3.7699,0.40666,-0.39249,15.708
0.16357,1.3062,3.927,0.40666,-0.49059,15.708
0.16767,1.3008,4.0841,0.40665,-0.58869,15.708
0.17177,1.2944,4.2412,0.40638,-0.68679,15.708
0.17588,1.2871,4.3982,0.4061,-0.78489,15.708
0.17998,1.2787,4.5553,0.40631,-0.88299,15.708
0.1841,1.2694,4.7124,0.40767,-0.98109,15.708
0.18824,1.2591,4.8695,0.41094,-1.0789,15.707
0.19238,1.2478,5.0265,0.41702,-1.176,15.688
0.19662,1.2356,5.1831,0.42697,-1.27,15.618
0.20102,1.2225,5.3385,0.44196,-1.3582,15.454
0.20564,1.2085,5.4917,0.46328,-1.4373,15.153
0.21051,1.1937,5.641,0.49053,-1.5045,14.682
0.21564,1.1784,5.7847,0.51998,-1.5568,14.017
0.22105,1.1627,5.9207,0.54834,-1.5922,13.149
0.2267,1.1466,6.047,0.5726,-1.609,12.085
0.23257,1.1305,6.1618,0.59004,-1.6064,10.842
0.23861,1.1146,6.2634,0.59821,-1.5843,9.4524
0.24467,1.0989,6.3505,0.5949,-1.5431,7.9562
0.25059,1.0838,6.4223,0.57821,-1.484,6.4006
0.25626,1.0693,6.4785,0.54756,-1.409,4.8364
0.26155,1.0556,6.5192,0.5055,-1.3201,3.3148
0.26639,1.0429,6.5451,0.45491,-1.2201,1.8844
0.2707,1.0313,6.5573,0.39864,-1.1117,0.58861
0.27443,1.0207,6.5574,0.33954,-0.99793,-0.5366
0.27757,1.0113,6.5472,0.28038,-0.88181,-1.4646
0.28011,1.0031,6.5288,0.22393,-0.76621,-2.1792
0.2821,0.99599,6.5044,0.17292,-0.6538,-2.6752
0.28362,0.98999,6.476,0.12967,-0.54697,-2.9583
0.28475,0.98502,6.4459,0.094297,-0.44776,-3.0445
0.28557,0.981,6.4157,0.06615,-0.35776,-2.9589
0.28614,0.97783,6.3871,0.044499,-0.27813,-2.7335
0.28651,0.9754,6.3614,0.028558,-0.20953,-2.4052
0.28675,0.9736,6.3393,0.017476,-0.15218,-2.0135
0.28688,0.97232,6.3212,0.010344,-0.10581,-1.5972
0.28697,0.97145,6.3073,0.0061886,-0.069777,-1.1916
0.28702,0.9709,6.2972,0.0039745,-0.043066,-0.82654
0.28706,0.97056,6.2905,0.0027228,-0.024398,-0.52338
0.28708,0.97039,6.2865,0.0021277,-0.01231,-0.29386
