Thrust,Torque
0.1325,1.1319E-06
0.13316,9.2753E-06
0.13538,3.1435E-05
0.14024,7.3576E-05
0.14862,0.00013981
0.1611,0.00023188
0.1778,0.00034898
0.19833,0.00048775
0.22185,0.00064253
0.24712,0.00080574
0.27259,0.00096844
0.29655,0.001121
0.3173,0.0012536
0.33331,0.0013572
0.34332,0.0014242
0.34646,0.0014487
0.34229,0.0014277
0.33074,0.0013608
0.31209,0.001251
0.28691,0.0011047
0.25596,0.00093103
0.22019,0.00074199
0.18079,0.00055131
0.1393,0.0003734
0.097753,0.00022187
0.058939,0.00010753
0.026618,3.6015E-05
0.0056131,4.8463E-06
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0046395,-4.0197E-06
0.017191,-2.836E-05
0.03545,-8.4061E-05
0.057704,-0.00017422
0.082651,-0.00029609
0.10931,-0.00044293
0.13695,-0.00060553
0.16497,-0.0007735
0.19285,-0.00093634
0.22008,-0.0010842
0.24614,-0.0012087
0.27043,-0.0013031
0.29231,-0.0013627
0.31114,-0.0013851
0.32629,-0.0013699
0.33723,-0.001319
0.34356,-0.0012357
0.34509,-0.0011253
0.34185,-0.00099402
0.3341,-0.00084882
0.32231,-0.00069715
0.30712,-0.00054632
0.2893,-0.00040317
0.26971,-0.00027366
0.24923,-0.00016254
0.22873,-7.3059E-05
0.20901,-6.7928E-06
0.19079,3.6459E-05
0.17466,5.8639E-05
0.16105,6.3271E-05
0.15021,5.5139E-05
0.14221,3.9794E-05
0.13689,2.2873E-05
0.1339,9.2073E-06
0.13266,1.7083E-06
0.13244,2.9046E-09
