y,z,phi,vy,vz,phi_dot
0,3,-3.1729E-08,0,0.00015363,-1.4323E-05
5.6576E-10,3,-5.5131E-07,5.6576E-08,0.002326,-9.4268E-05
2.3494E-09,3.0001,-1.0848E-06,1.7836E-07,0.011116,0.00010925
-4.7059E-09,3.0003,6.8434E-06,-7.0553E-07,0.033085,0.0019181
-9.0322E-08,3.0008,5.1025E-05,-8.5616E-06,0.07588,0.0078936
-5.3263E-07,3.0019,0.00019115,-4.423E-05,0.14743,0.021835
-2.1751E-06,3.0039,0.0005303,-0.00016425,0.25525,0.048573
-7.1441E-06,3.0071,0.0012236,-0.00049689,0.40582,0.093621
-2.0094E-05,3.0121,0.002483,-0.001295,0.60411,0.16274
-5.012E-05,3.0194,0.0045772,-0.0030026,0.85319,0.26146
-0.00011337,3.0294,0.0078269,-0.0063247,1.154,0.39457
-0.00023623,3.0426,0.012596,-0.012286,1.505,0.56575
-0.00045881,3.0596,0.019276,-0.022258,1.9027,0.77709
-0.00083812,3.0808,0.028273,-0.037932,2.341,1.0289
-0.0014504,3.1066,0.039983,-0.061227,2.812,1.3195
-0.0023917,3.1371,0.054779,-0.094126,3.3059,1.645
-0.003776,3.1727,0.072982,-0.13844,3.8119,1.9999
-0.0057311,3.2134,0.094849,-0.19551,4.3178,2.3764
-0.0083906,3.259,0.12055,-0.26595,4.8114,2.7656
-0.011884,3.3095,0.15017,-0.34935,5.2806,3.1576
-0.016325,3.3645,0.18368,-0.44411,5.714,3.5416
-0.021799,3.4237,0.22094,-0.54737,6.1015,3.9073
-0.02835,3.4864,0.26173,-0.65513,6.4349,4.245
-0.035975,3.5521,0.30572,-0.76249,6.7083,4.5462
-0.044616,3.6203,0.35251,-0.86413,6.9184,4.8045
-0.054165,3.6903,0.40165,-0.95487,7.065,5.0161
-0.064469,3.7614,0.45267,-1.0304,7.1509,5.1798
-0.075348,3.8331,0.5051,-1.0879,7.1817,5.2977
-0.086614,3.9049,0.55849,-1.1266,7.1658,5.3747
-0.098099,3.9763,0.61248,-1.1485,7.1133,5.4186
-0.10967,4.0471,0.66678,-1.1576,7.0356,5.4386
-0.12127,4.117,0.72121,-1.1595,6.9436,5.4448
-0.13287,4.1859,0.77566,-1.1595,6.8462,5.4455
-0.14446,4.2217,0.84362,-1.1595,1.8266,5.4455
-0.15606,4.2394,0.89808,-1.1595,1.7285,5.4455
-0.16765,4.2562,0.95253,-1.1595,1.6304,5.4455
-0.17925,4.272,1.007,-1.1595,1.5323,5.4455
-0.19084,4.2869,1.0614,-1.1595,1.4342,5.4455
-0.20244,4.3007,1.1159,-1.1595,1.3361,5.4455
-0.21403,4.3136,1.1704,-1.1595,1.238,5.4455
-0.22563,4.3255,1.2248,-1.1595,1.1399,5.4455
-0.23722,4.3364,1.2793,-1.1595,1.0418,5.4455
-0.24882,4.3463,1.3337,-1.1595,0.94371,5.4455
-0.26041,4.3553,1.3882,-1.1595,0.84561,5.4455
-0.27201,4.3632,1.4426,-1.1595,0.74751,5.4455
-0.2836,4.3702,1.4971,-1.1595,0.64941,5.4455
-0.2952,4.3762,1.5515,-1.1595,0.55131,5.4455
-0.30679,4.3812,1.606,-1.1595,0.45321,5.4455
-0.31839,4.3853,1.6604,-1.1595,0.35511,5.4455
-0.32999,4.3883,1.7149,-1.1595,0.25701,5.4455
-0.34158,4.3904,1.7694,-1.1595,0.15891,5.4455
-0.35318,4.3915,1.8238,-1.1595,0.060812,5.4455
-0.36477,4.3916,1.8783,-1.1595,-0.037288,5.4455
-0.37637,4.3908,1.9327,-1.1595,-0.13539,5.4455
-0.38796,4.3889,1.9872,-1.1595,-0.23349,5.4455
-0.39956,4.3861,2.0416,-1.1595,-0.33159,5.4455
-0.41115,4.3823,2.0961,-1.1595,-0.42969,5.4455
-0.42275,4.3775,2.1505,-1.1595,-0.52779,5.4455
-0.43434,4.3718,2.205,-1.1595,-0.62589,5.4455
-0.44594,4.365,2.2594,-1.1595,-0.72399,5.4455
-0.45753,4.3573,2.3139,-1.1595,-0.82209,5.4455
-0.46913,4.3486,2.3684,-1.1595,-0.92019,5.4455
-0.48072,4.3389,2.4228,-1.1595,-1.0183,5.4455
-0.49232,4.3282,2.4773,-1.1595,-1.1164,5.4455
-0.50392,4.3165,2.5317,-1.1595,-1.2145,5.4455
-0.51551,4.3039,2.5862,-1.1595,-1.3126,5.4455
-0.52711,4.2903,2.6406,-1.1595,-1.4107,5.4455
-0.5387,4.2757,2.6951,-1.1595,-1.5088,5.4455
-0.5503,4.2601,2.7495,-1.1595,-1.6069,5.4455
-0.56189,4.2436,2.804,-1.1595,-1.705,5.4455
-0.57349,4.226,2.8585,-1.1595,-1.8031,5.4455
-0.58508,4.2075,2.9129,-1.1595,-1.9012,5.4455
-0.59668,4.188,2.9674,-1.1595,-1.9993,5.4455
-0.60827,4.1675,3.0218,-1.1595,-2.0974,5.4455
-0.61987,4.146,3.0763,-1.1595,-2.1955,5.4455
-0.63146,4.1236,3.1307,-1.1595,-2.2936,5.4455
-0.64306,4.1002,3.1852,-1.1595,-2.3917,5.4455
-0.65465,4.0758,3.2396,-1.1595,-2.4898,5.4455
-0.66625,4.0504,3.2941,-1.1595,-2.5879,5.4455
-0.67784,4.024,3.3485,-1.1595,-2.686,5.4455
-0.68944,3.9967,3.403,-1.1595,-2.7841,5.4455
-0.70104,3.9683,3.4575,-1.1595,-2.8822,5.4455
-0.71263,3.939,3.5119,-1.1595,-2.9803,5.4455
-0.72423,3.9087,3.5664,-1.1595,-3.0784,5.4455
-0.73582,3.8774,3.6208,-1.1595,-3.1765,5.4455
-0.74742,3.8452,3.6753,-1.1595,-3.2746,5.4455
-0.75901,3.8119,3.7297,-1.1595,-3.3727,5.4455
-0.77061,3.7777,3.7842,-1.1595,-3.4708,5.4455
-0.7822,3.7425,3.8386,-1.1595,-3.5689,5.4455
-0.7938,3.7064,3.8931,-1.1595,-3.667,5.4455
-0.80539,3.6692,3.9475,-1.1595,-3.7651,5.4455
-0.81699,3.6311,4.002,-1.1595,-3.8632,5.4455
-0.82858,3.5919,4.0565,-1.1595,-3.9613,5.4455
-0.84018,3.5518,4.1109,-1.1595,-4.0594,5.4455
-0.85177,3.5107,4.1654,-1.1595,-4.1575,5.4455
-0.86337,3.4687,4.2198,-1.1595,-4.2556,5.4455
-0.87497,3.4256,4.2743,-1.1595,-4.3537,5.4455
-0.88656,3.3816,4.3287,-1.1595,-4.4518,5.4455
-0.89816,3.3366,4.3832,-1.1595,-4.5499,5.4455
-0.90975,3.2906,4.4376,-1.1595,-4.648,5.4455
-0.92135,3.2436,4.4921,-1.1595,-4.7461,5.4455
-0.93294,3.1957,4.5466,-1.1595,-4.8442,5.4455
-0.94454,3.1468,4.601,-1.1595,-4.9423,5.4455
-0.95613,3.0968,4.6555,-1.1595,-5.0404,5.4455
-0.96773,3.0459,4.7099,-1.1595,-5.1385,5.4455
-0.97932,2.9941,4.7644,-1.1595,-5.2366,5.4455
-0.99092,2.9412,4.8188,-1.1595,-5.3347,5.4455
-1.0025,2.8874,4.8733,-1.1595,-5.4328,5.4455
-1.0141,2.8326,4.9277,-1.1595,-5.5309,5.4455
-1.0257,2.7768,4.9822,-1.1595,-5.629,5.4455
-1.0373,2.72,5.0366,-1.1595,-5.7271,5.4455
-1.0489,2.6622,5.0911,-1.1595,-5.8252,5.4455
-1.0605,2.6035,5.1456,-1.1595,-5.9233,5.4455
-1.0721,2.5437,5.2,-1.1595,-6.0214,5.4455
-1.0837,2.483,5.2545,-1.1595,-6.1195,5.4455
-1.0953,2.4214,5.3089,-1.1595,-6.2176,5.4455
-1.1069,2.3587,5.3634,-1.1595,-6.3157,5.4455
-1.1185,2.295,5.4178,-1.1595,-6.4138,5.4455
-1.1301,2.2304,5.4723,-1.1595,-6.5119,5.4455
-1.1417,2.1648,5.5267,-1.1595,-6.61,5.4455
-1.1533,2.0982,5.5812,-1.1595,-6.7081,5.4455
-1.1648,2.0306,5.6356,-1.1595,-6.8062,5.4455
-1.1764,2,5.6988,-1.1575,-2.022,5.4448
-1.1879,1.9793,5.7532,-1.1453,-2.1097,5.4357
-1.199,1.9579,5.8074,-1.1154,-2.1701,5.402
-1.2097,1.9361,5.8611,-1.0646,-2.1838,5.3253
-1.2196,1.9144,5.9138,-0.99492,-2.136,5.1895
-1.2288,1.8936,5.9647,-0.91255,-2.0192,4.9845
-1.237,1.8743,6.0132,-0.82542,-1.8342,4.7065
-1.2444,1.8571,6.0586,-0.74148,-1.5899,4.3592
-1.2511,1.8426,6.1002,-0.66705,-1.3015,3.9525
-1.2571,1.8312,6.1375,-0.60602,-0.98877,3.5013
-1.2627,1.8229,6.1701,-0.55969,-0.67313,3.0239
-1.268,1.8176,6.1979,-0.52722,-0.37566,2.54
-1.2731,1.8152,6.221,-0.5063,-0.11468,2.0692
-1.278,1.8152,6.2394,-0.49403,0.095923,1.629
-1.2829,1.8169,6.2537,-0.48755,0.24786,1.2338
-1.2877,1.8199,6.2643,-0.48454,0.339,0.8938
-1.2926,1.8235,6.2718,-0.48332,0.37323,0.61456
-1.2974,1.8272,6.2768,-0.48291,0.35959,0.39685
-1.3022,1.8306,6.2799,-0.48279,0.31097,0.23711
-1.3071,1.8334,6.2817,-0.48275,0.24223,0.12823
-1.3119,1.8354,6.2826,-0.48274,0.16818,0.060644
-1.3167,1.8368,6.283,-0.48273,0.1014,0.023643
-1.3215,1.8375,6.2832,-0.48273,0.050459,0.0067528
-1.3264,1.8379,6.2832,-0.48273,0.01871,0.0010175
-1.3312,1.838,6.2832,-0.48273,0.004053,-4.2453E-05
-1.336,1.838,6.2832,-0.48273,0.00021883,-1.4079E-05
