y,z,phi,vy,vz,phi_dot
0,0.81642,-1.1669E-12,0,-1.3883E-11,1.7711E-10
1.9798E-11,0.81642,-8.0708E-08,3.9595E-09,4.4869E-06,-3.99E-05
6.7852E-10,0.81642,-2.4404E-06,1.2778E-07,6.7975E-05,-0.00059619
6.8652E-09,0.81642,-1.7498E-05,1.1095E-06,0.00032563,-0.002815
3.9489E-08,0.81643,-6.956E-05,5.4153E-06,0.00097326,-0.0082867
1.6077E-07,0.81644,-0.00020009,1.8841E-05,0.0022456,-0.018818
5.1722E-07,0.81648,-0.0004689,5.245E-05,0.0043979,-0.03624
1.4031E-06,0.81654,-0.00095358,0.00012473,0.0076902,-0.062261
3.3462E-06,0.81664,-0.0017477,0.00026388,0.012375,-0.098339
7.2161E-06,0.81679,-0.0029577,0.00051009,0.018684,-0.1456
1.4355E-05,0.81702,-0.0046993,0.00091773,0.026826,-0.20475
2.673E-05,0.81733,-0.0070933,0.0015573,0.036972,-0.27608
4.7102E-05,0.81776,-0.010261,0.002517,0.049259,-0.35939
7.9204E-05,0.81833,-0.014319,0.0039035,0.063783,-0.45405
0.00012794,0.81905,-0.019376,0.0058427,0.080597,-0.55895
0.00019954,0.81994,-0.025527,0.0084783,0.099713,-0.67259
0.00030179,0.82105,-0.032851,0.011971,0.1211,-0.79308
0.00044412,0.82237,-0.041404,0.016496,0.1447,-0.9182
0.00063779,0.82395,-0.051222,0.022238,0.1704,-1.0455
0.00089593,0.82579,-0.062312,0.02939,0.19807,-1.1722
0.0012336,0.82792,-0.074654,0.038145,0.22754,-1.2955
0.0016678,0.83035,-0.088201,0.048693,0.25864,-1.4126
0.0022173,0.83309,-0.10288,0.061212,0.29115,-1.5205
0.0029027,0.83617,-0.11857,0.075869,0.32485,-1.6163
0.0037461,0.83959,-0.13515,0.092805,0.35951,-1.6974
0.0047708,0.84336,-0.15246,0.11214,0.3949,-1.7613
0.0060012,0.84749,-0.17031,0.13395,0.4308,-1.8056
0.0074625,0.85198,-0.1885,0.1583,0.46696,-1.8285
0.00918,0.85683,-0.20681,0.1852,0.50317,-1.8282
0.011179,0.86204,-0.22498,0.21462,0.53923,-1.8036
0.013485,0.86762,-0.24279,0.2465,0.57495,-1.7539
0.016121,0.87354,-0.25998,0.28073,0.61016,-1.6786
0.01911,0.87982,-0.27628,0.31717,0.64472,-1.5779
