Thrust,Torque
0.1447,3.3229E-17
0.14472,-2.6E-07
0.14489,-1.9078E-06
0.14531,-5.8917E-06
0.14605,-1.2747E-05
0.14716,-2.2666E-05
0.14865,-3.5554E-05
0.15052,-5.1094E-05
0.15275,-6.8793E-05
0.15531,-8.803E-05
0.15815,-0.0001081
0.16122,-0.00012825
0.16446,-0.00014771
0.16782,-0.00016571
0.17123,-0.00018155
0.17464,-0.00019456
0.17799,-0.00020416
0.18124,-0.00020984
0.18434,-0.00021122
0.18725,-0.000208
0.18995,-0.00020001
0.1924,-0.00018718
0.19461,-0.00016958
0.19655,-0.00014735
0.19823,-0.00012078
0.19964,-9.0226E-05
0.2008,-5.6152E-05
0.2017,-1.9099E-05
0.20236,2.0319E-05
0.20279,6.1433E-05
0.203,0.00010353
0.203,0.00014585
0.20282,0.00018764
0.20245,0.00022813
0.20191,0.00026655
0.20122,0.00030219
0.2004,0.00033436
0.19946,0.00036241
0.19842,0.00038578
0.19732,0.00040398
0.19616,0.00041662
0.19499,0.0004234
0.19382,0.00042414
0.19271,0.00041877
0.19166,0.00040734
0.19072,0.00039002
0.18991,0.00036713
0.18926,0.00033908
0.18878,0.00030642
0.18849,0.00026982
0.18839,0.00023002
0.18849,0.00018788
0.18877,0.00014433
0.18922,0.00010032
0.18982,5.6875E-05
0.19054,1.4981E-05
0.19135,-2.439E-05
0.19222,-6.0338E-05
0.1931,-9.2075E-05
0.19396,-0.00011897
0.19477,-0.00014059
0.1955,-0.00015679
0.19614,-0.00016772
0.19668,-0.00017393
0.19716,-0.00017646
0.1976,-0.00017685
0.19806,-0.00017638
0.19846,-0.00017372
0.19873,-0.00016806
0.19883,-0.00015972
0.19876,-0.00014977
0.19852,-0.00013966
0.19813,-0.000131
0.19764,-0.00012534
0.19707,-0.00012399
0.19648,-0.00012789
0.19589,-0.00013759
0.19535,-0.00015313
0.19489,-0.0001741
0.19452,-0.00019965
0.19425,-0.0002285
0.1941,-0.00025905
0.19406,-0.00028943
0.19411,-0.00031765
0.19424,-0.00034164
0.19443,-0.0003594
0.19466,-0.00036911
0.19491,-0.00036923
0.19516,-0.00035857
0.19539,-0.00033644
0.19561,-0.00030266
0.19579,-0.00025764
0.19595,-0.00020238
0.19609,-0.00013851
0.1962,-6.8213E-05
0.19629,5.8335E-06
0.19637,8.0568E-05
0.19643,0.00015271
0.19648,0.00021896
0.1965,0.00027627
0.19651,0.00032215
0.1965,0.00035507
0.19648,0.00037489
0.19645,0.00038335
0.19642,0.00038473
0.19627,0.00038461
0.19545,0.00038396
0.19362,0.00038262
0.19068,0.00038074
0.18675,0.00037866
0.18208,0.00037681
0.17698,0.00037564
0.17181,0.00037554
0.16688,0.00037682
0.1625,0.00037967
0.15891,0.00038412
0.15626,0.00039006
0.15464,0.00039724
0.15407,0.00040525
0.15448,0.00041358
0.15574,0.00042162
0.15766,0.00042869
0.16002,0.00043407
0.16257,0.00043706
0.16502,0.00043699
0.1671,0.00043325
0.16853,0.00042537
0.16904,0.000413
0.16841,0.00039596
0.16642,0.00037427
0.16288,0.00034816
0.15766,0.00031807
0.15067,0.00028465
0.14184,0.00024876
0.1312,0.00021146
0.1188,0.00017392
0.10482,0.00013744
0.089497,0.00010332
0.073218,7.2813E-05
0.056511,4.7037E-05
0.040088,2.6816E-05
0.024881,1.2566E-05
0.012082,4.1262E-06
0.0031866,5.7028E-07
2.2158E-10,1.0415E-16
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0010357,-1.7964E-07
0.0043303,-1.3514E-06
0.0094968,-4.2845E-06
0.016152,-9.5312E-06
0.023968,-1.7453E-05
0.032663,-2.8244E-05
0.042001,-4.1958E-05
0.051782,-5.8525E-05
0.061842,-7.7774E-05
0.072041,-9.9454E-05
0.082265,-0.00012325
0.092418,-0.00014878
0.10242,-0.00017565
0.1122,-0.00020342
0.12171,-0.00023167
0.13088,-0.00025994
0.13968,-0.00028781
0.14805,-0.00031486
0.15594,-0.00034068
0.16333,-0.00036493
0.17016,-0.00038727
0.17639,-0.00040741
0.182,-0.00042509
0.18694,-0.00044011
0.19119,-0.0004523
0.19473,-0.00046156
0.19756,-0.0004678
0.19966,-0.00047101
0.20106,-0.00047121
0.20179,-0.00046845
0.20189,-0.00046283
0.20142,-0.0004545
0.20044,-0.00044364
0.19904,-0.00043043
0.19732,-0.00041512
0.19537,-0.00039796
0.1933,-0.00037923
0.1912,-0.0003592
0.18918,-0.00033818
0.18733,-0.00031647
0.18572,-0.00029436
0.18443,-0.00027217
0.18351,-0.00025018
0.183,-0.00022865
0.1829,-0.00020786
0.18322,-0.00018804
0.18394,-0.00016939
0.18502,-0.0001521
0.1864,-0.00013632
0.18803,-0.00012216
0.18982,-0.00010969
0.19169,-9.8961E-05
0.19354,-8.996E-05
0.1953,-8.2645E-05
0.19688,-7.6928E-05
0.1982,-7.2685E-05
0.19923,-6.9748E-05
0.19993,-6.7916E-05
0.20034,-6.6953E-05
0.2005,-6.659E-05
0.20054,-6.6538E-05
0.2006,-6.5941E-05
0.2007,-6.2172E-05
0.20083,-5.3087E-05
0.20097,-3.7497E-05
0.20112,-1.5002E-05
0.20129,1.4164E-05
0.20148,4.9269E-05
0.20168,8.9211E-05
0.2019,0.00013263
0.20214,0.00017799
0.2024,0.00022369
0.20265,0.00026813
0.2029,0.00030976
0.20312,0.00034716
0.20331,0.00037904
0.20345,0.00040432
0.20353,0.00042214
0.20355,0.00043186
0.20349,0.00043308
0.20336,0.00042567
0.20317,0.00040971
0.20293,0.00038554
0.20266,0.00035369
0.20237,0.00031492
0.20208,0.00027013
0.20181,0.0002204
0.20157,0.00016693
0.20139,0.00011099
0.20126,5.3914E-05
0.20119,-2.9274E-06
0.20119,-5.8186E-05
0.20125,-0.00011055
0.20134,-0.0001588
0.20147,-0.00020181
0.20162,-0.0002386
0.20176,-0.00026834
0.20189,-0.00029041
0.20197,-0.0003044
0.20201,-0.0003101
0.20198,-0.00030756
0.20189,-0.00029706
0.20174,-0.00027912
0.20151,-0.0002545
0.20123,-0.00022417
0.2009,-0.0001893
0.20054,-0.00015121
0.20017,-0.00011137
0.19979,-7.1289E-05
0.19942,-3.2516E-05
0.19908,3.4725E-06
0.19878,3.5339E-05
0.19854,6.1982E-05
0.19835,8.2644E-05
0.19822,9.7033E-05
0.19815,0.00010545
0.19812,0.00010896
0.19812,0.00010952
0.18823,0.00012221
0.15495,0.00015444
0.12799,0.00015024
0.13306,7.6621E-05
0.1663,-3.9856E-05
0.20071,-0.00013452
0.20877,-0.00015288
0.18519,-9.4528E-05
0.15411,-2.1528E-05
0.1447,-8.1044E-15
