y,z,phi,vy,vz,phi_dot
0,1.6551,2.3444E-11,0,6.9018E-12,1.6381E-11
2.4362E-09,1.6551,-9.7695E-06,4.8724E-07,0.00044342,-0.0045408
6.761E-08,1.6552,-0.00021603,1.2548E-05,0.0053101,-0.045615
5.7307E-07,1.6553,-0.0010882,8.8544E-05,0.019844,-0.13411
2.7123E-06,1.6556,-0.0028866,0.0003393,0.045712,-0.21813
8.7932E-06,1.6562,-0.0051668,0.00087688,0.080535,-0.2181
2.1669E-05,1.6572,-0.0068011,0.0016982,0.11988,-0.086433
4.3247E-05,1.6586,-0.0065352,0.0026174,0.15977,0.15065
7.2948E-05,1.6604,-0.00377,0.0033229,0.19836,0.39198
0.00010716,1.6626,0.00087082,0.0035201,0.23614,0.50453
0.00014015,1.6651,0.0055657,0.0030775,0.27485,0.39426
0.00016621,1.6681,0.0080273,0.0021333,0.31556,0.069298
0.00018242,1.6714,0.0066045,0.0011093,0.35758,-0.36012
0.00019089,1.6752,0.00088586,0.00058481,0.39921,-0.76102
0.00019884,1.6794,-0.00744,0.0010063,0.43563,-0.81301
0.00021526,1.6839,-0.013321,0.0022773,0.46156,-0.26685
0.00024514,1.6886,-0.011462,0.0036973,0.47724,0.66219
0.00028543,1.6934,-0.00060145,0.0043619,0.48829,1.4357
0.00032486,1.6984,0.015048,0.0035227,0.50235,1.5609
0.00034689,1.7035,0.027962,0.00088399,0.52523,0.90625
0.00033613,1.7089,0.031637,-0.0030348,0.55854,-0.19864
0.00028633,1.7147,0.024582,-0.0069266,0.59962,-1.1279
0.00020425,1.7209,0.011585,-0.0094897,0.6437,-1.3208
0.00010485,1.7276,0.0010944,-0.01039,0.68704,-0.65532
5.5691E-07,1.7347,1.4796E-10,-0.010467,0.72912,0.46474
-0.00010776,1.7422,0.01041,-0.011196,0.77104,1.5941
-0.00023405,1.7501,0.030525,-0.014062,0.81298,2.3109
-0.00040396,1.7584,0.053426,-0.019919,0.85453,2.0797
-0.00064507,1.7672,0.068219,-0.028302,0.89442,0.69617
-0.00097258,1.7763,0.064437,-0.037201,0.93046,-1.5469
-0.0013771,1.7858,0.036741,-0.043698,0.95979,-3.9456
-0.001822,1.7955,-0.01201,-0.045289,0.97926,-5.6071
-0.0022544,1.8053,-0.070177,-0.04119,0.98595,-5.7118
-0.0026248,1.8151,-0.11929,-0.032878,0.97749,-3.7439
-0.0029067,1.8248,-0.13787,-0.023507,0.95249,0.36187
-0.0031065,1.8341,-0.10627,-0.016454,0.91071,6.1859
-0.0032573,1.843,-0.011131,-0.013701,0.85309,12.91
-0.0034012,1.8511,0.15151,-0.01509,0.78163,19.511
-0.0035709,1.8586,0.37542,-0.018853,0.69912,25.021
-0.0037795,1.8651,0.64611,-0.022866,0.60874,28.803
-0.0040223,1.8707,0.94532,-0.025685,0.51356,30.759
-0.0042855,1.8754,1.2567,-0.026952,0.41613,31.364
-0.0045579,1.879,1.5708,-0.02754,0.31807,31.416
-0.0048349,1.8817,1.885,-0.027859,0.21997,31.416
-0.0051135,1.8834,2.1991,-0.027859,0.12187,31.416
