Thrust,Torque
0.14225,-5.2158E-14
0.14464,-2.6828E-05
0.15536,-0.00011341
0.17168,-0.00016433
0.18719,-9.0352E-05
0.19715,0.00010483
0.20045,0.00032437
0.19928,0.00043221
0.19726,0.00032882
0.19727,1.6264E-05
0.19976,-0.00037978
0.2026,-0.00066337
0.20341,-0.00072952
0.20049,-0.00049293
0.18818,0.00040075
0.1716,0.0013445
0.15984,0.0015747
0.15867,0.00084363
0.16809,-0.00046801
0.18323,-0.0016059
0.19732,-0.0018725
0.20523,-0.001041
0.20619,0.00043954
0.20391,0.0016397
0.203,0.0019374
0.20307,0.0016903
0.20307,0.00052271
0.20201,-0.0013495
0.19838,-0.0031523
0.19077,-0.004081
0.17851,-0.0036151
0.16188,-0.0016587
0.14177,0.0014584
0.11904,0.005083
0.094645,0.0084065
0.07021,0.010665
0.048069,0.011332
0.030224,0.010271
0.017323,0.0078089
0.0087789,0.0046978
0.0035653,0.0019221
0.00082286,0.00032314
0.00092374,2.9734E-13
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0018914,-0.00014718
0.0068169,-0.00094396
0.014304,-0.0025172
0.02457,-0.0046356
0.038262,-0.0068954
0.055974,-0.0088596
0.077424,-0.010155
0.1006,-0.010533
0.12192,-0.0098981
0.13823,-0.0083116
0.14881,-0.0059723
0.15547,-0.0031828
0.16069,-0.00030384
0.16627,0.0022963
0.1728,0.0042935
0.17983,0.0054542
0.1864,0.0056727
0.19171,0.0049932
0.19553,0.0036115
0.19816,0.0018517
0.20002,0.00011257
0.2013,-0.001222
0.20195,-0.0019131
0.20205,-0.0020426
0.20124,-0.0020017
0.19656,-0.001779
0.18696,-0.0013351
0.17341,-0.00072792
0.15798,-6.1559E-05
0.143,0.00055089
0.13062,0.0010134
0.12244,0.0012627
0.1194,0.0012752
0.12169,0.0010673
0.12882,0.00068923
0.13974,0.00021524
0.15299,-0.00026869
0.16696,-0.00067867
0.18007,-0.00094605
0.191,-0.0010288
0.19888,-0.00091962
0.20348,-0.00064862
0.20516,-0.00028035
0.20482,9.7694E-05
0.20364,0.0003957
0.20272,0.00055321
0.20251,0.00058319
0.20218,0.00056119
0.20071,0.00045023
0.19867,0.00025113
0.19725,1.4103E-05
0.1973,-0.00019944
0.19897,-0.00034085
0.20155,-0.00038625
0.20377,-0.0003391
0.2041,-0.0002256
0.2012,-8.5421E-05
0.19439,3.9876E-05
0.18395,0.00011835
0.17126,0.00013666
0.1586,0.00010421
0.14861,4.9923E-05
0.14328,9.4097E-06
0.14224,-1.4372E-14
