y,z,phi,vy,vz,phi_dot
0,0.86943,-0.0055867,0,0.082714,-0.28723
0.00036274,0.87885,-0.026838,0.013406,0.31673,-0.4747
0.0018848,0.90304,-0.039317,0.043546,0.66658,0.14889
0.0046643,0.94654,0.0069777,0.05788,1.0778,1.8948
0.0056492,1.0106,0.16761,-0.023585,1.4768,4.6741
-0.0030684,1.0925,0.48369,-0.30007,1.7712,7.9981
-0.03347,1.1842,0.9619,-0.82162,1.8492,10.978
-0.086497,1.2716,1.5545,-1.1375,1.5805,12.324
-0.14792,1.3079,2.1707,-1.1376,0.47964,12.324
-0.20948,1.3196,2.7869,-1.1376,-0.010858,12.324
-0.27104,1.3068,3.4031,-1.1376,-0.50136,12.324
-0.33239,1.2695,4.0193,-1.1292,-0.99186,12.324
-0.39434,1.2076,4.6355,-1.1639,-1.4824,12.324
-0.44657,1.1365,5.3503,-0.77581,-1.1707,10.916
-0.47246,1.082,5.8213,-0.18272,-0.96198,7.7551
-0.47355,1.0433,6.1197,0.11941,-0.5741,4.2173
-0.46467,1.0243,6.2549,0.21181,-0.20215,1.3836
-0.453,1.0201,6.283,0.22296,-0.0063698,0.041033
