y,z,phi,vy,vz,phi_dot
0,1.1628,7.7169E-15,0,-7.2186E-15,-4.2163E-14
-1.8759E-08,1.1628,7.1843E-05,-3.7518E-06,0.0032746,0.021244
-2.2584E-07,1.1629,0.00055035,-3.7665E-05,0.012296,0.080142
-1.2583E-06,1.1631,0.0017771,-0.00016882,0.02592,0.16977
-4.6261E-06,1.1634,0.0040266,-0.00050474,0.043079,0.28366
-1.3078E-05,1.1639,0.0075109,-0.0011857,0.062784,0.41577
-3.088E-05,1.1647,0.012384,-0.0023747,0.084123,0.56051
-6.3984E-05,1.1656,0.018746,-0.0042461,0.10627,0.71273
-0.00012009,1.1668,0.026648,-0.0069749,0.12845,0.86774
-0.00020859,1.1682,0.036096,-0.010726,0.15001,1.0213
-0.00034046,1.1698,0.047056,-0.015647,0.17034,1.1695
-0.000528,1.1716,0.059457,-0.021859,0.18893,1.3091
-0.00078456,1.1736,0.073198,-0.029454,0.20531,1.437
-0.0011243,1.1757,0.088151,-0.038492,0.21914,1.5509
-0.0015618,1.1779,0.10416,-0.049001,0.23013,1.6487
-0.0021117,1.1803,0.12107,-0.060979,0.23806,1.7287
-0.0027885,1.1827,0.13867,-0.074397,0.24281,1.7899
-0.0036066,1.1851,0.1568,-0.089207,0.24432,1.8314
-0.0045793,1.1876,0.17524,-0.10535,0.24261,1.8531
-0.0057198,1.19,0.19379,-0.12275,0.2378,1.8551
-0.0070403,1.1923,0.21228,-0.14134,0.23006,1.838
-0.0085523,1.1946,0.23049,-0.16107,0.21965,1.8029
-0.010267,1.1967,0.24828,-0.18191,0.2069,1.7513
-0.012196,1.1987,0.26547,-0.20383,0.19224,1.6852
-0.014349,1.2005,0.28194,-0.22686,0.17615,1.6069
-0.016739,1.2022,0.29758,-0.25108,0.15921,1.5192
-0.019377,1.2037,0.31231,-0.27658,0.14206,1.4255
-0.022278,1.2051,0.32608,-0.30353,0.12543,1.3294
-0.025456,1.2062,0.3389,-0.33216,0.11014,1.2352
-0.028931,1.2073,0.3508,-0.36273,0.097048,1.1474
-0.032723,1.2082,0.36188,-0.3956,0.087131,1.0711
-0.036856,1.209,0.37228,-0.43118,0.081423,1.0117
-0.041362,1.2098,0.3822,-0.46996,0.081042,0.97532
-0.046274,1.2107,0.39189,-0.51251,0.087183,0.96821
-0.051622,1.2116,0.4016,-0.55698,0.095237,0.97225
-0.057413,1.2126,0.41129,-0.60123,0.099941,0.96539
-0.063646,1.2136,0.42087,-0.6453,0.10155,0.94847
-0.070318,1.2146,0.43023,-0.68921,0.10033,0.9223
-0.077429,1.2156,0.43929,-0.733,0.096515,0.88768
-0.084978,1.2165,0.44796,-0.77669,0.090352,0.84538
-0.092963,1.2174,0.45617,-0.82031,0.082073,0.79615
-0.10138,1.2181,0.46386,-0.86389,0.071905,0.74072
-0.11024,1.2188,0.47097,-0.90743,0.060067,0.67979
-0.11953,1.2193,0.47744,-0.95097,0.046773,0.61407
-0.12926,1.2197,0.48324,-0.99451,0.032228,0.54419
-0.13942,1.22,0.48832,-1.0381,0.016632,0.47082
-0.15002,1.2201,0.49264,-1.0817,0.00017725,0.39456
-0.16106,1.22,0.4962,-1.1253,-0.016951,0.31602
-0.17253,1.2197,0.49896,-1.1691,-0.034573,0.23577
-0.18444,1.2193,0.50091,-1.2129,-0.052518,0.15436
-0.19679,1.2187,0.50204,-1.2567,-0.070621,0.072332
-0.20957,1.2179,0.50236,-1.3007,-0.088723,-0.0098121
-0.2228,1.2169,0.50185,-1.3447,-0.10667,-0.091583
-0.23647,1.2157,0.50053,-1.3887,-0.12433,-0.17251
-0.25057,1.2144,0.4984,-1.4329,-0.14155,-0.25216
-0.26512,1.2129,0.49549,-1.4771,-0.1582,-0.3301
-0.28012,1.2112,0.49181,-1.5213,-0.17416,-0.40593
-0.29555,1.2094,0.48738,-1.5655,-0.18932,-0.47928
-0.31142,1.2075,0.48223,-1.6096,-0.20356,-0.54979
-0.32774,1.2054,0.4764,-1.6537,-0.21679,-0.61712
-0.3445,1.2031,0.4699,-1.6978,-0.22889,-0.68097
-0.3617,1.2008,0.46279,-1.7417,-0.23979,-0.74103
-0.37933,1.1983,0.45509,-1.7854,-0.2494,-0.79705
-0.3974,1.1958,0.44686,-1.8289,-0.25764,-0.84877
-0.41591,1.1932,0.43813,-1.8722,-0.26445,-0.89597
-0.43485,1.1905,0.42896,-1.9151,-0.26976,-0.93846
-0.45421,1.1878,0.41938,-1.9577,-0.27352,-0.97603
-0.474,1.1851,0.40945,-1.9999,-0.27568,-1.0085
-0.49421,1.1823,0.39923,-2.0417,-0.27619,-1.0359
-0.51483,1.1795,0.38875,-2.0829,-0.27502,-1.0579
