y,z,phi,vy,vz,phi_dot
0,0.90359,-6.1992E-07,0,1.1593E-05,-0.00030443
4.804E-09,0.90359,-1.8138E-05,9.4191E-07,0.00018298,-0.0043705
2.912E-07,0.9036,-0.00012568,7.9698E-06,0.00091089,-0.019782
6.1935E-07,0.90362,-0.00048214,3.8806E-05,0.002822,-0.05568
1.1065E-06,0.90366,-0.0013361,0.00013282,0.0067332,-0.12056
3.0499E-06,0.90376,-0.0030112,0.00037117,0.013605,-0.22069
8.9266E-06,0.90395,-0.0058781,0.0008788,0.02449,-0.35912
2.3341E-05,0.90427,-0.010319,0.0018238,0.04048,-0.53512
5.0762E-05,0.90478,-0.016691,0.0034968,0.062651,-0.74403
9.892E-05,0.90554,-0.025282,0.0062434,0.09201,-0.97747
0.00018164,0.90664,-0.036283,0.010474,0.12945,-1.2237
0.00031883,0.90816,-0.049752,0.016836,0.17569,-1.4684
0.00053649,0.91019,-0.065592,0.025941,0.23126,-1.6953
0.00086455,0.91282,-0.08354,0.038488,0.29644,-1.8869
0.0013379,0.91615,-0.10315,0.05505,0.37124,-2.0258
0.0020084,0.92028,-0.12382,0.076289,0.45541,-2.0951
0.0029281,0.92529,-0.14477,0.10267,0.5484,-2.0796
0.0041477,0.93127,-0.16509,0.13444,0.64935,-1.9662
0.0057165,0.9383,-0.18374,0.17167,0.75713,-1.7449
0.0076826,0.94643,-0.1996,0.21363,0.87035,-1.4093
0.010093,0.95572,-0.21153,0.25925,0.98736,-0.9566
0.012994,0.96619,-0.21835,0.3072,1.1063,-0.38841
0.016395,0.97784,-0.21893,0.35594,1.2252,0.28966
0.020278,0.99068,-0.21222,0.40363,1.3419,1.0679
0.024611,1.0047,-0.19729,0.44823,1.4542,1.9327
0.029351,1.0197,-0.17334,0.48742,1.5598,2.8673
0.03444,1.0358,-0.13977,0.51874,1.6568,3.8519
0.039809,1.0528,-0.096202,0.54072,1.743,4.865
0.045372,1.0707,-0.042455,0.55281,1.8165,5.8834
0.051034,1.0891,0.021407,0.55489,1.8759,6.8841
0.056683,1.1081,0.095092,0.54729,1.9199,7.8445
0.062197,1.1275,0.17809,0.53077,1.9475,8.7437
0.067476,1.147,0.2697,0.50653,1.9581,9.5634
0.072468,1.1666,0.36905,0.47621,1.9519,10.289
0.077143,1.186,0.47514,0.44187,1.929,10.911
0.081479,1.2051,0.58689,0.40603,1.8904,11.422
0.085475,1.2238,0.70322,0.37157,1.8373,11.825
0.089142,1.2418,0.82304,0.34022,1.7715,12.123
0.092507,1.2591,0.94537,0.31358,1.6948,12.328
0.095611,1.2757,1.0694,0.29292,1.6096,12.456
0.098513,1.2913,1.1943,0.27871,1.5182,12.523
0.10128,1.306,1.3197,0.27061,1.4228,12.551
0.10401,1.3198,1.4452,0.26747,1.3254,12.559
0.10674,1.3443,1.6964,0.26734,1.1284,12.559
0.10947,1.3551,1.822,0.26761,1.0303,12.559
0.1122,1.3649,1.9476,0.26761,0.93225,12.559
0.11493,1.3737,2.0732,0.26761,0.83415,12.559
0.11766,1.3816,2.1988,0.26761,0.73605,12.559
0.12039,1.3885,2.3243,0.26761,0.63795,12.559
0.12312,1.3944,2.4499,0.26761,0.53985,12.559
0.12585,1.3993,2.5755,0.26761,0.44175,12.559
0.12858,1.4032,2.7011,0.26761,0.34365,12.559
0.13131,1.4061,2.8267,0.26761,0.24555,12.559
0.13404,1.4081,2.9523,0.26761,0.14745,12.559
0.13677,1.4091,3.0779,0.26761,0.049349,12.559
0.1395,1.4091,3.2035,0.26761,-0.048751,12.559
0.14223,1.4081,3.3291,0.26761,-0.14685,12.559
0.14496,1.4061,3.4547,0.26761,-0.24495,12.559
0.14769,1.4032,3.5803,0.26761,-0.34305,12.559
0.15042,1.3993,3.7059,0.26761,-0.44115,12.559
0.15315,1.3944,3.8314,0.26761,-0.53925,12.559
0.15588,1.3885,3.957,0.26761,-0.63735,12.559
0.15861,1.3816,4.0826,0.26761,-0.73545,12.559
0.16134,1.3738,4.2082,0.26765,-0.83355,12.559
0.16407,1.365,4.3338,0.26788,-0.93165,12.559
0.1668,1.3552,4.4594,0.26806,-1.0298,12.559
0.16953,1.3444,4.585,0.2682,-1.1279,12.559
0.17227,1.3326,4.7106,0.26873,-1.226,12.559
0.17503,1.3197,4.838,0.27051,-1.3246,12.559
0.17784,1.3059,4.9635,0.27479,-1.422,12.551
0.18072,1.2912,5.0889,0.28326,-1.5172,12.522
0.18372,1.2756,5.2138,0.29799,-1.6081,12.45
0.18689,1.2591,5.3377,0.32032,-1.6923,12.317
0.19029,1.2418,5.4599,0.34886,-1.7674,12.103
0.19398,1.2238,5.5795,0.38206,-1.8311,11.792
0.19804,1.2052,5.6954,0.41818,-1.8813,11.375
0.20252,1.1862,5.8066,0.45531,-1.9162,10.844
0.20739,1.1669,5.9119,0.49139,-1.9347,10.203
0.21258,1.1476,6.0103,0.52416,-1.9359,9.4562
0.21805,1.1283,6.1007,0.55121,-1.9197,8.6159
0.22373,1.1092,6.1824,0.57003,-1.8861,7.6977
0.22954,1.0906,6.2545,0.57928,-1.836,6.7214
0.23541,1.0726,6.3167,0.57852,-1.7704,5.709
0.24124,1.0553,6.3686,0.56771,-1.6907,4.684
0.24694,1.0388,6.4104,0.54731,-1.5989,3.6707
0.2524,1.0233,6.4422,0.51824,-1.4968,2.6923
0.25752,1.0089,6.4644,0.48188,-1.3867,1.771
0.2622,0.9956,6.4778,0.44009,-1.2709,0.92614
0.26644,0.98349,6.4832,0.39521,-1.1517,0.17421
0.27023,0.97257,6.4817,0.35,-1.0314,-0.47212
0.27358,0.96285,6.4742,0.30649,-0.91222,-1.0043
0.27652,0.95432,6.462,0.26583,-0.79612,-1.4181
0.27907,0.94691,6.4462,0.22901,-0.68496,-1.7137
0.28127,0.94059,6.4281,0.19672,-0.5803,-1.8955
0.28314,0.93528,6.4087,0.16935,-0.48344,-1.9719
0.28475,0.9309,6.389,0.14701,-0.39538,-1.9545
0.28614,0.92734,6.3698,0.12949,-0.3168,-1.8581
0.28738,0.92453,6.352,0.11632,-0.24806,-1.6992
0.28852,0.92235,6.336,0.1067,-0.18923,-1.4957
0.28958,0.92071,6.3222,0.099743,-0.14007,-1.2655
0.29057,0.91952,6.3107,0.094948,-0.1001,-1.0262
0.29153,0.91868,6.3016,0.091819,-0.068613,-0.79329
0.29245,0.91812,6.2948,0.089925,-0.044701,-0.58016
0.29336,0.91776,6.2899,0.088894,-0.027338,-0.3968
0.29426,0.91755,6.2867,0.088421,-0.015412,-0.24946
0.29516,0.91744,6.2848,0.088261,-0.0077912,-0.14031
0.29606,0.91739,6.2838,0.088233,-0.0033739,-0.067505
