Thrust,Torque
0.14231,-1.9642E-06
0.14277,-1.3688E-05
0.14398,-3.9976E-05
0.14625,-8.1393E-05
0.14982,-0.0001354
0.15486,-0.00019733
0.16147,-0.00026127
0.16967,-0.00032075
0.1794,-0.00036933
0.19054,-0.00040111
0.20289,-0.00041108
0.21623,-0.00039541
0.23024,-0.00035162
0.24461,-0.00027866
0.25898,-0.00017699
0.27294,-4.8488E-05
0.28608,0.00010364
0.29793,0.00027499
0.30802,0.00046016
0.31585,0.00065301
0.32094,0.00084685
0.32285,0.0010348
0.32122,0.0012099
0.31586,0.0013656
0.30675,0.001496
0.29406,0.001596
0.27819,0.0016615
0.25969,0.0016897
0.23922,0.0016794
0.21749,0.0016309
0.19515,0.0015462
0.17279,0.0014289
0.15086,0.0012841
0.12971,0.0011185
0.10956,0.00093977
0.09058,0.0007567
0.072857,0.00057834
0.056485,0.00041362
0.041587,0.00027069
0.028349,0.00015612
0.01706,7.3918E-05
0.0081459,2.4494E-05
0.0021959,3.4118E-06
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0023799,-3.5998E-06
0.0088045,-2.578E-05
0.018393,-7.7628E-05
0.030487,-0.00016359
0.044609,-0.00028298
0.060432,-0.00043132
0.077737,-0.00060151
0.096377,-0.00078482
0.11623,-0.00097175
0.13717,-0.0011528
0.15901,-0.0013189
0.18147,-0.001462
0.20416,-0.0015755
0.22658,-0.0016542
0.2481,-0.0016948
0.26803,-0.0016955
0.28568,-0.0016566
0.30039,-0.0015798
0.31167,-0.0014684
0.3192,-0.0013271
0.32285,-0.0011615
0.32273,-0.00097828
0.31911,-0.00078439
0.3124,-0.00058716
0.30308,-0.00039379
0.29168,-0.00021109
0.2787,-4.5227E-05
0.26467,9.86E-05
0.25004,0.00021634
0.23527,0.00030531
0.22076,0.00036429
0.20687,0.00039366
0.19393,0.00039535
0.18221,0.00037281
0.17192,0.0003308
0.16321,0.00027518
0.15614,0.00021255
0.15072,0.00014972
0.14683,9.3131E-05
0.14432,4.8139E-05
0.14293,1.81E-05
0.14236,3.3525E-06
0.14225,1.5801E-08
