Thrust,Torque
0.14224,-1.5521E-13
0.14488,0.00074682
0.15627,0.0032957
0.17266,0.0053001
0.1873,0.0044279
0.19657,0.00054103
0.2005,-0.0043629
0.2006,-0.007532
0.19877,-0.0072485
0.19693,-0.0041077
0.19561,-0.00087182
0.1937,1.7183E-05
0.19226,0.0002838
0.19263,0.0014171
0.1938,0.0029507
0.19407,0.0040216
0.19214,0.0040496
0.18793,0.0029943
0.18243,0.0013033
0.17714,-0.00033275
0.17327,-0.0013033
0.17136,-0.001364
0.17122,-0.0007718
0.17201,-0.00015206
0.17286,1.5075E-05
0.16566,-0.0028513
0.1414,-0.011126
0.1259,-0.013953
0.13659,-0.0040845
0.16307,0.014314
0.17276,0.029415
0.13725,0.030927
0.072619,0.018642
0.017375,0.0042013
2.2822E-11,1.056E-12
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0069011,-0.0011329
0.031652,-0.0064018
0.072887,-0.014686
0.12802,-0.022508
0.18259,-0.026533
0.21068,-0.024932
0.20576,-0.017846
0.18726,-0.0071605
0.17264,0.0041871
0.16759,0.013136
0.17085,0.017452
0.17735,0.01648
0.18106,0.011464
0.1792,0.0052241
0.17134,0.00097178
0.15854,2.3566E-05
0.14922,-1.8719E-05
0.15066,-0.00024183
0.16116,-0.00066811
0.17571,-0.0012197
0.18937,-0.0017797
0.1986,-0.0022347
0.20174,-0.0025015
0.19904,-0.0025401
0.19243,-0.0023562
0.18487,-0.0019945
0.17941,-0.0015268
0.17825,-0.0010357
0.18193,-0.0005981
0.18905,-0.00026945
0.19667,-7.2622E-05
0.2016,7.3478E-06
0.20277,1.9265E-05
0.20112,0.00017753
0.19458,0.00079504
0.18783,0.0014961
0.18626,0.0017589
0.19085,0.0013541
0.19771,0.00044664
0.20054,-0.00053167
0.19434,-0.0011258
0.17873,-0.0011082
0.15934,-0.00062591
0.14548,-0.00013333
0.14224,1.1878E-13
