y,z,phi,vy,vz,phi_dot
0,1.1558,4.8334E-15,0,9.3575E-16,2.243E-14
3.5667E-09,1.1558,-1.4332E-05,7.1333E-07,0.00071724,-0.0042643
4.2517E-08,1.1558,-0.00011184,7.0767E-06,0.0029028,-0.016496
2.3592E-07,1.1559,-0.00036806,3.1604E-05,0.0066048,-0.035871
8.6778E-07,1.156,-0.0008504,9.4768E-05,0.011867,-0.061587
2.4648E-06,1.1561,-0.0016183,0.00022465,0.018731,-0.092864
5.8708E-06,1.1563,-0.0027237,0.00045654,0.027232,-0.12895
1.2316E-05,1.1567,-0.0042108,0.00083258,0.037403,-0.1691
2.3486E-05,1.1571,-0.0061168,0.0014013,0.049273,-0.2126
4.1577E-05,1.1577,-0.0084718,0.0022171,0.062868,-0.25878
6.9362E-05,1.1584,-0.011299,0.0033398,0.078209,-0.30695
0.00011023,1.1592,-0.014615,0.0048341,0.095314,-0.35648
0.00016825,1.1603,-0.018431,0.0067689,0.1142,-0.40674
0.00024817,1.1615,-0.022751,0.0092168,0.13487,-0.45713
0.00035552,1.163,-0.027572,0.012253,0.15733,-0.50707
0.00049657,1.1647,-0.032889,0.015956,0.18159,-0.55602
0.00067836,1.1666,-0.038687,0.020403,0.20764,-0.60342
0.00090876,1.1688,-0.04495,0.025676,0.23549,-0.64879
0.0011964,1.1713,-0.051655,0.031854,0.26512,-0.69162
0.0015507,1.1741,-0.058773,0.039014,0.29651,-0.73145
0.001982,1.1773,-0.066272,0.047234,0.32966,-0.76783
0.0025011,1.1807,-0.074116,0.056587,0.36453,-0.80036
0.0031197,1.1846,-0.082265,0.067143,0.40112,-0.82862
0.0038503,1.1888,-0.090673,0.078967,0.43938,-0.85224
0.0047057,1.1934,-0.099293,0.092119,0.4793,-0.87088
0.0056996,1.1984,-0.10807,0.10665,0.52082,-0.88419
0.0068459,1.2038,-0.11696,0.12261,0.56392,-0.89187
0.0081591,1.2096,-0.12589,0.14003,0.60855,-0.89363
0.0096539,1.216,-0.13481,0.15894,0.65467,-0.88921
0.011345,1.2227,-0.14365,0.17935,0.70221,-0.87837
0.013248,1.23,-0.15236,0.20128,0.75114,-0.86089
0.015378,1.2378,-0.16085,0.2247,0.80138,-0.83657
0.01775,1.246,-0.16906,0.24961,0.85289,-0.80524
0.020378,1.2548,-0.17693,0.27596,0.90558,-0.76674
0.023276,1.2641,-0.18437,0.30371,0.9594,-0.72095
0.026459,1.274,-0.19132,0.33279,1.0143,-0.66776
0.029938,1.2844,-0.1977,0.36312,1.0701,-0.60709
0.033727,1.2954,-0.20344,0.39459,1.1269,-0.53887
0.037835,1.307,-0.20846,0.42711,1.1844,-0.46306
0.042273,1.3191,-0.21268,0.46053,1.2427,-0.37965
0.047049,1.3318,-0.21602,0.4947,1.3015,-0.28865
0.05217,1.3451,-0.21842,0.52947,1.361,-0.19007
0.057641,1.3591,-0.2198,0.56464,1.4208,-0.083973
0.063464,1.3736,-0.22008,0.60002,1.481,0.02957
0.069641,1.3887,-0.21918,0.6354,1.5414,0.15047
0.076171,1.4044,-0.21705,0.67055,1.6019,0.2786
0.08305,1.4207,-0.21359,0.70523,1.6624,0.41382
0.090272,1.4376,-0.20875,0.7392,1.7227,0.55598
0.097829,1.4552,-0.20245,0.77219,1.7829,0.70489
0.10571,1.4733,-0.19463,0.80395,1.8426,0.86034
0.1139,1.492,-0.18522,0.8342,1.9018,1.0221
0.12238,1.5113,-0.17416,0.86266,1.9604,1.1899
0.13114,1.5312,-0.1614,0.88907,2.0183,1.3635
0.14015,1.5517,-0.14688,0.91316,2.0752,1.5426
0.14939,1.5727,-0.13053,0.93466,2.131,1.7269
0.15883,1.5943,-0.11232,0.9533,2.1857,1.9159
0.16844,1.6164,-0.092198,0.96884,2.2389,2.1095
0.17819,1.6391,-0.070119,0.98104,2.2907,2.3071
0.18805,1.6622,-0.046044,0.98966,2.3407,2.5084
0.19797,1.6859,-0.019939,0.9945,2.3889,2.7129
0.20792,1.71,0.0082244,0.99536,2.4351,2.9203
0.21785,1.7346,0.038473,0.99206,2.4791,3.1299
0.22774,1.7596,0.070828,0.98444,2.5208,3.3413
0.23752,1.785,0.1053,0.97234,2.5599,3.554
0.24716,1.8108,0.14191,0.95566,2.5963,3.7675
0.25661,1.8369,0.18065,0.93428,2.6297,3.9811
0.26582,1.8634,0.22153,0.90812,2.6601,4.1943
0.27475,1.8901,0.26454,0.87711,2.6872,4.4065
0.28334,1.9171,0.30965,0.84122,2.7107,4.617
0.29155,1.9443,0.35687,0.80041,2.7306,4.8252
0.29932,1.9717,0.40615,0.75469,2.7465,5.0305
0.30662,1.9992,0.45747,0.70406,2.7584,5.232
0.31338,2.0268,0.51078,0.64855,2.7659,5.4291
0.31956,2.0545,0.56603,0.58822,2.7689,5.6211
0.32512,2.0822,0.62318,0.52313,2.7671,5.8072
0.33,2.1098,0.68215,0.45336,2.7603,5.9865
0.33417,2.1374,0.74288,0.37902,2.7483,6.1583
0.33756,2.1648,0.80529,0.30023,2.7308,6.3217
0.34015,2.192,0.86929,0.2171,2.7077,6.4759
0.34188,2.2189,0.93477,0.1298,2.6786,6.62
0.34272,2.2455,1.0016,0.038486,2.6434,6.7531
0.34263,2.2718,1.0698,-0.056669,2.6017,6.8743
0.34157,2.2976,1.1391,-0.15547,2.5533,6.9826
0.33951,2.3228,1.2094,-0.25771,2.4981,7.077
0.3364,2.3475,1.2806,-0.36316,2.4356,7.1566
0.33223,2.3715,1.3525,-0.4716,2.3657,7.2204
0.32696,2.3948,1.4249,-0.58278,2.2881,7.2673
0.32056,2.4172,1.4978,-0.69643,2.2025,7.2962
0.31331,2.4388,1.5708,-0.75383,2.1086,7.3061
0.30577,2.4594,1.6439,-0.75383,2.0105,7.3061
0.29823,2.479,1.7169,-0.75383,1.9124,7.3061
0.29069,2.4976,1.79,-0.75383,1.8143,7.3061
0.28316,2.5153,1.863,-0.75383,1.7162,7.3061
0.27562,2.532,1.9361,-0.75383,1.6181,7.3061
