y,z,phi,vy,vz,phi_dot
0,1.1829,-7.0038E-12,0,-6.501E-11,-3.2457E-09
6.0199E-09,1.1829,-2.4457E-05,1.204E-06,8.8793E-05,-0.011732
1.8444E-07,1.1829,-0.00063505,3.448E-05,0.0014491,-0.1451
1.7292E-06,1.1829,-0.0038625,0.00027446,0.0072781,-0.55524
9.3487E-06,1.183,-0.01284,0.0012494,0.022298,-1.2898
3.603E-05,1.1834,-0.030366,0.0040868,0.051709,-2.2315
0.00010974,1.1841,-0.057297,0.010656,0.09997,-3.1183
0.00027974,1.1855,-0.091406,0.023344,0.16966,-3.6077
0.0006176,1.1876,-0.12699,0.044227,0.2606,-3.3616
0.0012071,1.1907,-0.15533,0.073668,0.36942,-2.1272
0.00212,1.195,-0.16587,0.10892,0.48956,0.20015
0.0033828,1.2005,-0.14792,0.14365,0.61183,3.5435
0.0049477,1.2072,-0.092454,0.16932,0.72539,7.6462
0.0066853,1.215,0.0062196,0.1782,0.81918,12.11
0.0084099,1.2235,0.14939,0.16673,0.88348,16.465
0.00993,1.2325,0.33363,0.13729,0.91157,20.257
0.011104,1.2416,0.5515,0.097608,0.90107,23.147
0.011883,1.2504,0.79307,0.058139,0.85474,24.994
0.012316,1.2586,1.0482,0.028421,0.7803,25.895
0.012525,1.266,1.3089,0.013283,0.6888,26.161
0.012639,1.2724,1.5706,0.0095524,0.59122,26.183
0.012734,1.2778,1.8325,0.0095524,0.49312,26.183
0.01283,1.2822,2.0943,0.0095524,0.39502,26.183
0.012925,1.2857,2.3561,0.0095524,0.29692,26.183
0.013021,1.2882,2.618,0.0095524,0.19882,26.183
0.013116,1.2897,2.8798,0.0095524,0.10072,26.183
0.013212,1.2902,3.1416,0.0095524,0.0026246,26.183
0.013307,1.2897,3.4035,0.0095524,-0.095475,26.183
0.013403,1.2883,3.6653,0.0095524,-0.19358,26.183
0.013498,1.2859,3.9271,0.0095524,-0.29168,26.183
0.013594,1.2825,4.189,0.0095524,-0.38978,26.183
0.013689,1.2781,4.4508,0.0095524,-0.48788,26.183
0.013785,1.2727,4.7126,0.0095524,-0.58598,26.183
0.013893,1.2663,4.9744,0.012113,-0.68372,26.167
0.014067,1.259,5.2353,0.022692,-0.77721,25.958
0.0144,1.2508,5.4919,0.043898,-0.85841,25.237
0.014983,1.2419,5.7374,0.072629,-0.91849,23.719
0.015855,1.2326,5.9631,0.10178,-0.95028,21.268
0.016977,1.223,6.1598,0.12255,-0.94962,17.932
0.018225,1.2137,6.3195,0.12703,-0.91588,13.927
0.019413,1.2048,6.4373,0.1107,-0.85181,9.593
0.020338,1.1967,6.5116,0.074159,-0.76295,5.3235
0.020824,1.1896,6.5452,0.023086,-0.6568,1.5025
0.02077,1.1836,6.5442,-0.033755,-0.54183,-1.5578
0.020164,1.1788,6.5173,-0.087576,-0.4265,-3.6616
0.019065,1.1751,6.4744,-0.13214,-0.31837,-4.7528
0.017581,1.1724,6.4253,-0.16478,-0.22339,-4.9168
0.015827,1.1705,6.3785,-0.18598,-0.14547,-4.3578
0.013906,1.1694,6.3396,-0.19813,-0.086259,-3.3576
0.011895,1.1688,6.3118,-0.20418,-0.045196,-2.2199
0.00984,1.1684,6.2948,-0.20673,-0.019894,-1.2093
0.0077684,1.1683,6.2866,-0.20759,-0.0066897,-0.49691
0.0056915,1.1683,6.2837,-0.2078,-0.0013884,-0.12501
0.0036134,1.1683,6.2832,-0.20783,-9.0086E-05,-0.0097898
0.0015351,1.1683,6.2832,-0.20783,5.203E-11,-3.8871E-09
