y,z,phi,vy,vz,phi_dot
0,1.3377,6.4631E-11,0,5.6674E-12,2.6244E-09
2.72E-09,1.3377,-1.1066E-05,5.44E-07,5.5205E-05,-0.0053489
8.5462E-08,1.3377,-0.0002987,1.6004E-05,0.00088897,-0.069472
8.1319E-07,1.3377,-0.0018974,0.00012954,0.0044527,-0.28149
4.4465E-06,1.3378,-0.0066255,0.00059711,0.013718,-0.70028
1.7336E-05,1.338,-0.016577,0.0019807,0.032209,-1.3188
5.3641E-05,1.3385,-0.033407,0.0052804,0.063438,-2.0569
0.00014002,1.3393,-0.05765,0.011995,0.11032,-2.774
0.00032003,1.3407,-0.08823,0.024006,0.17464,-3.2937
0.00065592,1.3429,-0.12226,0.043174,0.25667,-3.4339
0.0012251,1.3459,-0.15511,0.070667,0.35488,-3.0377
0.0021091,1.35,-0.18086,0.10613,0.4659,-1.9998
0.003375,1.3552,-0.19284,0.14704,0.58465,-0.28489
0.0050531,1.3617,-0.18444,0.18857,0.70463,2.0625
0.0071175,1.3693,-0.14989,0.22433,0.8185,4.92
0.0094789,1.378,-0.084965,0.24795,0.91865,8.0993
0.011994,1.3876,0.012403,0.25498,0.99799,11.369
0.01449,1.3979,0.14189,0.24424,1.0507,14.483
0.016803,1.4085,0.30078,0.21833,1.0729,17.216
0.018809,1.4192,0.48438,0.1829,1.0634,19.4
0.02045,1.4297,0.68666,0.14528,1.0239,20.948
0.021739,1.4396,0.90127,0.11264,0.95896,21.878
0.022753,1.4488,1.1226,0.090178,0.8754,22.309
0.023601,1.4571,1.3464,0.079421,0.78122,22.43
0.024383,1.4644,1.5708,0.076879,0.68342,22.44
0.025151,1.4708,1.7952,0.076878,0.58532,22.44
0.02592,1.4761,2.0196,0.076878,0.48722,22.44
0.026689,1.4805,2.244,0.076878,0.38912,22.44
0.027458,1.4839,2.4684,0.076878,0.29102,22.44
0.028227,1.4863,2.6928,0.076878,0.19292,22.44
0.028995,1.4878,2.9172,0.076878,0.094824,22.44
0.029764,1.4882,3.1416,0.076878,-0.0032764,22.44
0.030533,1.4877,3.366,0.076878,-0.10138,22.44
0.031302,1.4862,3.5904,0.076878,-0.19948,22.44
0.03207,1.4837,3.8148,0.076878,-0.29758,22.44
0.032839,1.4803,4.0392,0.076878,-0.39568,22.44
0.033608,1.4758,4.2636,0.076878,-0.49378,22.44
0.034377,1.4704,4.488,0.076878,-0.59188,22.44
0.035146,1.464,4.7124,0.076878,-0.68998,22.44
0.035925,1.4566,4.9368,0.079071,-0.78782,22.431
0.036763,1.4482,5.1607,0.088408,-0.88252,22.322
0.037745,1.439,5.3823,0.10804,-0.9679,21.933
0.038969,1.4289,5.5978,0.13679,-1.0368,21.083
0.040504,1.4183,5.802,0.17012,-1.0827,19.653
0.042362,1.4074,5.9888,0.20153,-1.101,17.613
0.04449,1.3964,6.1524,0.22405,-1.0895,15.023
0.046769,1.3857,6.2879,0.23188,-1.0486,12.024
0.049038,1.3755,6.3922,0.22178,-0.98083,8.814
0.051117,1.3661,6.4642,0.194,-0.89089,5.6182
0.052848,1.3577,6.5053,0.15221,-0.78472,2.6589
0.054121,1.3505,6.5189,0.10251,-0.66904,0.12859
0.054892,1.3444,6.5098,0.05169,-0.55069,-1.8318
0.055178,1.3394,6.4844,0.0055206,-0.43604,-3.1475
0.055044,1.3356,6.449,-0.032325,-0.33053,-3.8159
0.05458,1.3328,6.41,-0.060509,-0.23826,-3.9026
0.05388,1.3308,6.3725,-0.079601,-0.16182,-3.53
0.053025,1.3295,6.3404,-0.091321,-0.1022,-2.8576
0.052079,1.3287,6.3158,-0.097781,-0.05886,-2.0581
0.051086,1.3283,6.2991,-0.10092,-0.029988,-1.29
0.05007,1.3281,6.2895,-0.10223,-0.012844,-0.67259
0.049046,1.328,6.285,-0.10267,-0.0042038,-0.26627
0.048018,1.328,6.2835,-0.10278,-0.00084903,-0.064868
0.04699,1.328,6.2832,-0.10279,-5.3563E-05,-0.0049386
0.045963,1.328,6.2832,-0.10279,1.6642E-10,-1.0226E-08
