Thrust,Torque
0.14225,1.0553E-17
0.17188,0.0015293
0.1906,0.0019305
0.20023,0.0014994
0.20266,0.00053157
0.19968,-0.00067716
0.1929,-0.0018311
0.18378,-0.0026346
0.1739,-0.0027918
0.16505,-0.0020072
0.15925,1.5149E-05
0.18581,0.0018721
0.20109,0.0025891
0.2072,0.0024389
0.20618,0.0016942
0.2001,0.00062776
0.1909,-0.00048766
0.18044,-0.0013793
0.17054,-0.0017744
0.16316,-0.0014002
0.16047,1.5997E-05
0.19393,-0.0036156
0.19914,-0.0031978
0.18286,5.3476E-05
0.1522,0.0049221
0.11336,0.010192
0.072218,0.014647
0.034765,0.017072
0.0056608,0.016249
-0.012067,0.010964
1.7786E-13,-1.9137E-16
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.073365,-0.013242
0.11501,-0.019214
0.15014,-0.019537
0.17854,-0.015835
0.19739,-0.0097316
0.20712,-0.0028486
0.20927,0.0031906
0.20349,0.0067631
0.18832,0.0062458
0.16399,1.5855E-05
0.16483,-0.00067951
0.17088,-0.00095542
0.18013,-0.00091123
0.19057,-0.00064628
0.20016,-0.00025991
0.20684,0.00014852
0.20851,0.00047967
0.20306,0.0006342
0.18848,0.00051277
0.16284,1.6017E-05
0.17018,0.00092764
0.17888,0.0011999
0.18754,0.00099653
0.19494,0.00048109
0.19986,-0.00018274
0.20111,-0.00083131
0.19736,-0.001301
0.18723,-0.0014281
0.16932,-0.001049
0.14225,3.0217E-16
