Thrust,Torque
0.14225,-6.8957E-18
0.16826,0.00030177
0.19023,0.00048095
0.20834,0.00055453
0.22278,0.00053952
0.23375,0.00045292
0.24146,0.0003117
0.2461,0.00013288
0.24785,-6.6556E-05
0.24687,-0.00026961
0.24329,-0.00045929
0.23722,-0.00061859
0.22879,-0.00073053
0.21815,-0.0007781
0.20546,-0.00074431
0.19095,-0.00061217
0.17484,-0.00036468
0.15738,1.5156E-05
0.20288,0.00062135
0.23032,0.0010276
0.24216,0.0012579
0.24085,0.0013365
0.22878,0.0012875
0.20834,0.001135
0.18185,0.00090311
0.15159,0.00061602
0.11975,0.00029783
0.088558,-2.7332E-05
0.060307,-0.00033534
0.037472,-0.00060206
0.02275,-0.00080338
0.019046,-0.00091516
0.02939,-0.00091327
0.05682,-0.00077359
0.1043,-0.00047199
0.17479,1.5659E-05
0.20579,-0.0019359
0.22165,-0.0025253
0.22357,-0.0020355
0.21413,-0.00074928
0.19655,0.0010505
0.17381,0.0030812
0.14819,0.0050597
0.12141,0.0067034
0.094862,0.0077294
0.069666,0.0078549
0.046292,0.006797
0.024033,0.004273
2.1669E-14,-3.4335E-17
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.098127,-0.0023788
0.14672,-0.0041698
0.17824,-0.0054262
0.20228,-0.006201
0.22148,-0.0065472
0.23602,-0.0065179
0.24555,-0.0061662
0.2501,-0.0055451
0.25043,-0.0047077
0.24794,-0.0037071
0.2442,-0.0025962
0.24061,-0.0014283
0.23814,-0.00025619
0.23723,0.00086689
0.23779,0.0018879
0.23915,0.0027539
0.24017,0.0034117
0.23955,0.0038082
0.23652,0.0038905
0.23169,0.0036055
0.22731,0.0029001
0.22665,0.0017212
0.23314,1.5773E-05
0.23432,-0.0009515
0.23257,-0.0014896
0.22967,-0.0016715
0.22654,-0.0015703
0.22365,-0.0012593
0.22125,-0.00081132
0.21946,-0.00029961
0.21838,0.00020277
0.21811,0.00062274
0.21887,0.0008872
0.22109,0.00092306
0.22549,0.00065723
0.23319,1.662E-05
0.23122,0.0017553
0.23369,0.0027354
0.23746,0.0030746
0.24075,0.0028908
0.243,0.0023015
0.24441,0.0014244
0.24536,0.00037721
0.24591,-0.00072233
0.24558,-0.0017566
0.24329,-0.0026078
0.23743,-0.0031584
0.22612,-0.0032906
0.2075,-0.0028867
0.17998,-0.0018291
0.14225,2.9448E-16
