Thrust,Torque
0.14224,-5.6581E-17
0.14228,1.013E-07
0.1425,7.3729E-07
0.14303,2.2586E-06
0.14398,4.8475E-06
0.14539,8.5507E-06
0.14728,1.3308E-05
0.14963,1.8981E-05
0.15243,2.537E-05
0.15561,3.2243E-05
0.15912,3.9347E-05
0.16287,4.6422E-05
0.16678,5.3221E-05
0.17078,5.9512E-05
0.17477,6.509E-05
0.17867,6.9783E-05
0.1824,7.3458E-05
0.18589,7.6018E-05
0.18908,7.7409E-05
0.1919,7.7617E-05
0.1943,7.6668E-05
0.19625,7.4622E-05
0.19773,7.1573E-05
0.19871,6.7644E-05
0.19919,6.2981E-05
0.19918,5.7746E-05
0.19869,5.2116E-05
0.19775,4.627E-05
0.1964,4.039E-05
0.19466,3.465E-05
0.19261,2.9212E-05
0.19028,2.422E-05
0.18775,1.9797E-05
0.18507,1.6036E-05
0.18231,1.3004E-05
0.17955,1.0731E-05
0.17684,9.2162E-06
0.17424,8.4238E-06
0.17183,8.2852E-06
0.16964,8.7023E-06
0.16774,9.5522E-06
0.16614,1.0693E-05
0.16489,1.1975E-05
0.16398,1.3245E-05
0.16341,1.4369E-05
0.16316,1.5238E-05
0.16319,1.5792E-05
0.16344,1.604E-05
0.16382,1.6082E-05
0.16449,1.0327E-05
0.16637,-1.9723E-05
0.16986,-7.6054E-05
0.17478,-0.0001465
0.18062,-0.00021338
0.18666,-0.0002597
0.19221,-0.00027307
0.19664,-0.00024783
0.19954,-0.00018558
0.20067,-9.4474E-05
0.20004,1.2464E-05
0.19786,0.00011958
0.19446,0.00021122
0.19031,0.00027429
0.18589,0.00030056
0.18168,0.00028833
0.1781,0.00024314
0.17543,0.00017725
0.17383,0.00010759
0.17325,5.1769E-05
0.17352,2.1947E-05
0.17426,1.6231E-05
0.17458,-0.00026861
0.17166,-0.0015615
0.16245,-0.0034902
0.14517,-0.0050768
0.12048,-0.0054088
0.091435,-0.0040117
0.061842,-0.00098035
0.034599,0.0030763
0.011556,0.0072203
-0.005733,0.010444
-0.01595,0.011946
-0.019004,0.011374
-0.016572,0.0089658
-0.011225,0.005547
-0.0053825,0.0023214
-0.0011532,0.00039765
-9.553E-12,-1.4078E-13
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.0034533,-0.00011373
0.015622,-0.00073306
0.034521,-0.0019663
0.058411,-0.0036462
0.086158,-0.0054696
0.11624,-0.0071015
0.14575,-0.0082494
0.17016,-0.00871
0.18483,-0.0083926
0.18748,-0.0073235
0.17965,-0.005634
0.16545,-0.0035365
0.14937,-0.0012923
0.13488,0.00082499
0.12424,0.0025674
0.1189,0.0037471
0.11958,0.0042647
0.1261,0.0041268
0.13715,0.0034501
0.15031,0.0024466
0.16266,0.0013885
0.17148,0.00054674
0.17522,0.00010076
0.17469,1.5917E-05
0.17329,1.2533E-05
0.17213,-7.2818E-06
0.17134,-5.0723E-05
0.17104,-0.00011752
0.1713,-0.00020239
0.17218,-0.00029713
0.17368,-0.00039225
0.17577,-0.00047832
0.17836,-0.00054695
0.18136,-0.00059152
0.18462,-0.00060764
0.188,-0.00059332
0.19133,-0.00054902
0.19444,-0.00047746
0.19719,-0.00038336
0.19942,-0.00027297
0.20099,-0.00015364
0.2018,-3.3183E-05
0.20177,8.0623E-05
0.20086,0.00018064
0.19905,0.00026091
0.19641,0.00031708
0.19304,0.00034681
0.18909,0.00034999
0.1848,0.00032886
0.18039,0.00028787
0.17614,0.00023337
0.1723,0.0001731
0.16911,0.00011527
0.16671,6.749E-05
0.16517,3.5266E-05
0.16439,2.0151E-05
0.16411,1.7516E-05
0.1639,2.0129E-05
0.1637,3.4767E-05
0.16366,6.5004E-05
0.164,0.0001081
0.16493,0.00015764
0.16662,0.00020567
0.16917,0.00024431
0.17255,0.0002669
0.17666,0.00026879
0.18128,0.00024778
0.18614,0.00020418
0.19088,0.00014073
0.19516,6.2204E-05
0.19859,-2.5077E-05
0.20086,-0.00011388
0.20168,-0.00019673
0.20085,-0.00026665
0.19829,-0.00031782
0.19405,-0.00034615
0.18829,-0.00034981
0.18136,-0.00032949
0.17368,-0.0002885
0.16583,-0.00023256
0.15839,-0.00016932
0.15196,-0.00010747
0.14703,-5.5505E-05
0.14389,-1.9911E-05
0.14248,-2.984E-06
0.14225,6.6312E-15
