y,z,phi,vy,vz,phi_dot
0,2.1382,3.3693E-07,0,1.1051E-05,0.00016942
-1.0878E-08,2.1382,1.1028E-05,-1.0878E-06,0.00024057,0.0027758
-1.0676E-07,2.1382,8.4765E-05,-9.5885E-06,0.0014721,0.01419
-5.7484E-07,2.1383,0.00035829,-4.6808E-05,0.0052615,0.044746
-2.2407E-06,2.1384,0.001088,-0.00016658,0.013907,0.10785
-7.098E-06,2.1386,0.0026744,-0.00048573,0.030259,0.21869
-1.9426E-05,2.139,0.0056727,-0.0012328,0.057422,0.39275
-4.7602E-05,2.1398,0.010788,-0.0028176,0.098405,0.64424
-0.00010676,2.141,0.018854,-0.0059158,0.15576,0.98464
-0.00022229,2.1429,0.030802,-0.011553,0.23123,1.4214
-0.00043393,2.1457,0.047612,-0.021163,0.32551,1.957
-0.00079977,2.1495,0.070261,-0.036585,0.43798,2.5881
-0.0013995,2.1545,0.099664,-0.059971,0.56666,3.3058
-0.0023355,2.1609,0.13662,-0.093597,0.70818,4.0952
-0.0037311,2.1687,0.18174,-0.13956,0.85792,4.9364
-0.0057254,2.1781,0.23544,-0.19943,1.0102,5.8055
-0.0084637,2.1889,0.29786,-0.27384,1.1586,6.6757
-0.012085,2.2012,0.36886,-0.36217,1.2965,7.5193
-0.016709,2.2148,0.44806,-0.46232,1.4174,8.3093
-0.022415,2.2295,0.53479,-0.57064,1.5153,9.0217
-0.029236,2.245,0.62817,-0.68206,1.5855,9.637
-0.037141,2.2611,0.72716,-0.79049,1.6252,10.142
-0.046034,2.2774,0.83063,-0.88937,1.633,10.532
-0.05576,2.2936,0.93743,-0.97254,1.6104,10.81
-0.066112,2.3095,1.0465,-1.0352,1.5605,10.988
-0.076864,2.3248,1.1569,-1.0752,1.4887,11.085
-0.087804,2.3392,1.268,-1.094,1.4017,11.127
-0.098785,2.3528,1.3794,-1.0981,1.3065,11.137
-0.10977,2.3807,1.5974,-1.0981,1.5348,11.138
-0.12075,2.3955,1.7088,-1.0981,1.4367,11.138
-0.13173,2.4094,1.8202,-1.0981,1.3386,11.138
-0.14271,2.4223,1.9316,-1.0981,1.2405,11.138
-0.15369,2.4342,2.0429,-1.0981,1.1424,11.138
-0.16467,2.4452,2.1543,-1.0981,1.0443,11.138
-0.17565,2.4551,2.2657,-1.0981,0.94616,11.138
-0.18663,2.4641,2.3771,-1.0981,0.84806,11.138
-0.19761,2.4721,2.4885,-1.0981,0.74996,11.138
-0.20859,2.4791,2.5998,-1.0981,0.65186,11.138
-0.21958,2.4851,2.7112,-1.0981,0.55376,11.138
-0.23056,2.4902,2.8226,-1.0981,0.45566,11.138
-0.24154,2.4942,2.934,-1.0981,0.35756,11.138
-0.25252,2.4973,3.0453,-1.0981,0.25946,11.138
-0.2635,2.4994,3.1567,-1.0981,0.16136,11.138
-0.27448,2.5005,3.2681,-1.0981,0.063261,11.138
-0.28546,2.5007,3.3795,-1.0981,-0.034839,11.138
-0.29644,2.4998,3.4909,-1.0981,-0.13294,11.138
-0.30742,2.498,3.6022,-1.0981,-0.23104,11.138
-0.3184,2.4952,3.7136,-1.0981,-0.32914,11.138
-0.32939,2.4914,3.825,-1.0981,-0.42724,11.138
-0.34037,2.4867,3.9364,-1.0981,-0.52534,11.138
-0.35135,2.4809,4.0478,-1.0981,-0.62344,11.138
-0.36233,2.4742,4.1591,-1.0981,-0.72154,11.138
-0.37331,2.4665,4.2705,-1.0981,-0.81964,11.138
-0.38429,2.4578,4.3819,-1.0981,-0.91774,11.138
-0.39527,2.4481,4.4933,-1.0981,-1.0158,11.138
-0.40625,2.4375,4.6046,-1.0981,-1.1139,11.138
-0.41723,2.4259,4.716,-1.0981,-1.212,11.138
-0.42818,2.409,4.8282,-1.0947,-1.7309,11.137
-0.439,2.3912,4.9395,-1.0823,-1.8276,11.129
-0.44958,2.3724,5.0507,-1.0575,-1.9202,11.097
-0.45977,2.3528,5.1613,-1.019,-2.005,11.02
-0.46944,2.3324,5.2709,-0.96708,-2.0779,10.88
-0.47847,2.3113,5.3786,-0.90342,-2.1351,10.658
-0.48678,2.2897,5.4837,-0.83068,-2.173,10.342
-0.4943,2.2679,5.5851,-0.75214,-2.1891,9.9262
-0.50101,2.246,5.6819,-0.67133,-2.1816,9.4097
-0.50693,2.2243,5.773,-0.59172,-2.1496,8.7991
-0.5121,2.2031,5.8576,-0.51644,-2.0935,8.1059
-0.51658,2.1826,5.9349,-0.44808,-2.0142,7.3464
-0.52046,2.1629,6.0044,-0.38849,-1.9139,6.5403
-0.52385,2.1443,6.0656,-0.33874,-1.7951,5.7093
-0.52684,2.127,6.1185,-0.29912,-1.6611,4.8762
-0.52953,2.1112,6.1632,-0.26923,-1.5157,4.0632
-0.53201,2.0968,6.1999,-0.24807,-1.3627,3.2908
-0.53436,2.0839,6.2292,-0.23428,-1.206,2.5772
-0.53662,2.0726,6.2517,-0.22632,-1.0496,1.9369
-0.53885,2.0629,6.2682,-0.22263,-0.89719,1.3804
-0.54106,2.0547,6.2796,-0.22178,-0.75196,0.91379
-0.54329,2.0478,6.2868,-0.22261,-0.61675,0.53884
-0.54553,2.0423,6.2907,-0.22422,-0.49382,0.25291
-0.54779,2.0379,6.2922,-0.22602,-0.38481,0.049511
-0.55007,2.0345,6.292,-0.22764,-0.29068,-0.081078
-0.55236,2.032,6.2907,-0.22892,-0.21179,-0.15102
-0.55466,2.0303,6.2891,-0.22983,-0.14784,-0.17393
-0.55696,2.029,6.2874,-0.23042,-0.097981,-0.16386
-0.55927,2.0283,6.2859,-0.23077,-0.060876,-0.13418
-0.56158,2.0278,6.2847,-0.23095,-0.034807,-0.096626
-0.56389,2.0275,6.2839,-0.23104,-0.017801,-0.060393
-0.5662,2.0274,6.2835,-0.23107,-0.0077673,-0.031532
-0.56851,2.0274,6.2833,-0.23108,-0.0026507,-0.012678
-0.57082,2.0273,6.2832,-0.23108,-0.00058518,-0.0032598
-0.57313,2.0273,6.2832,-0.23108,-4.7312E-05,-0.00030427
-0.57544,2.0273,6.2832,-0.23108,-7.4932E-09,-5.5263E-08
