y,z,phi,vy,vz,phi_dot
0,2.7995,0,0,0,0
3.9774E-10,2.7995,-4.0496E-07,3.9774E-08,2.9396E-05,-0.00019748
1.2102E-08,2.7995,-1.1423E-05,1.1705E-06,0.00045098,-0.0027086
1.0053E-07,2.7995,-7.6031E-05,8.8429E-06,0.002184,-0.011646
4.8019E-07,2.7996,-0.00027903,3.7966E-05,0.0065873,-0.030924
1.6666E-06,2.7997,-0.0007362,0.00011864,0.015311,-0.062612
4.6842E-06,2.7999,-0.0015705,0.00030177,0.03015,-0.10597
1.1316E-05,2.8003,-0.0028818,0.00066314,0.05291,-0.15706
2.4349E-05,2.801,-0.0047142,0.0013033,0.085282,-0.20879
4.7746E-05,2.8021,-0.0070272,0.0023397,0.12872,-0.25133
8.6629E-05,2.8036,-0.0096706,0.0038884,0.18437,-0.27275
0.00014695,2.8058,-0.012368,0.0060317,0.25296,-0.25991
0.00023469,2.8087,-0.01471,0.0087747,0.33476,-0.19931
0.00035461,2.8125,-0.016152,0.011992,0.42953,-0.078097
0.00050833,2.8174,-0.016031,0.015372,0.53652,0.11505
0.00069206,2.8233,-0.013581,0.018373,0.65446,0.38906
0.00089403,2.8305,-0.0079606,0.020197,0.78158,0.74984
0.001092,2.839,0.0017127,0.019795,0.91566,1.1996
0.0012511,2.8488,0.016324,0.015913,1.0541,1.7368
0.0013229,2.86,0.036722,0.0071834,1.1939,2.3556
0.0012454,2.8727,0.063677,-0.0077547,1.3321,3.0464
0.00094439,2.8867,0.097845,-0.0301,1.4652,3.7957
0.00033709,2.9019,0.13973,-0.060731,1.5901,4.5869
-0.00066353,2.9184,0.18966,-0.10006,1.7035,5.4011
-0.0021429,2.936,0.24776,-0.14793,1.8027,6.2177
-0.0041783,2.9544,0.31395,-0.20354,1.8851,7.0154
-0.0068329,2.9736,0.38794,-0.26546,1.9485,7.7736
-0.01015,2.9933,0.46923,-0.33167,1.9915,8.4734
-0.014147,3.0134,0.55716,-0.3997,2.0133,9.0987
-0.018814,3.0335,0.65091,-0.46678,2.0138,9.6372
-0.024115,3.0536,0.74959,-0.53005,1.9936,10.081
-0.029983,3.0733,0.85222,-0.58679,1.9541,10.429
-0.03633,3.0926,0.95786,-0.63471,1.8974,10.685
-0.043051,3.1112,1.0656,-0.67214,1.8263,10.856
-0.050035,3.1291,1.1748,-0.69837,1.7437,10.959
-0.057173,3.1461,1.2846,-0.71383,1.6531,11.01
-0.064377,3.1621,1.3948,-0.72037,1.5577,11.028
-0.071591,3.1772,1.5051,-0.72138,1.46,11.031
-0.078805,3.1992,1.6811,-0.72138,1.294,11.031
-0.086019,3.2116,1.7914,-0.72138,1.1959,11.031
-0.093232,3.2231,1.9017,-0.72138,1.0978,11.031
-0.10045,3.2336,2.012,-0.72138,0.99972,11.031
-0.10766,3.2431,2.1224,-0.72138,0.90162,11.031
-0.11487,3.2516,2.2327,-0.72138,0.80352,11.031
-0.12209,3.2592,2.343,-0.72138,0.70542,11.031
-0.1293,3.2657,2.4533,-0.72138,0.60732,11.031
-0.13652,3.2713,2.5636,-0.72138,0.50922,11.031
-0.14373,3.2759,2.6739,-0.72138,0.41112,11.031
-0.15094,3.2795,2.7842,-0.72138,0.31302,11.031
-0.15816,3.2822,2.8945,-0.72138,0.21492,11.031
-0.16537,3.2838,3.0049,-0.72138,0.11682,11.031
-0.17258,3.2845,3.1152,-0.72138,0.018718,11.031
-0.1798,3.2842,3.2255,-0.72138,-0.079382,11.031
-0.18701,3.2829,3.3358,-0.72138,-0.17748,11.031
-0.19423,3.2806,3.4461,-0.72138,-0.27558,11.031
-0.20144,3.2774,3.5564,-0.72138,-0.37368,11.031
-0.20865,3.2732,3.6667,-0.72138,-0.47178,11.031
-0.21587,3.268,3.7771,-0.72138,-0.56988,11.031
-0.22308,3.2618,3.8874,-0.72138,-0.66798,11.031
-0.2303,3.2546,3.9977,-0.72138,-0.76608,11.031
-0.23751,3.2465,4.108,-0.72138,-0.86418,11.031
-0.24472,3.2373,4.2183,-0.72138,-0.96228,11.031
-0.25194,3.2272,4.3286,-0.72138,-1.0604,11.031
-0.25915,3.2161,4.4389,-0.72138,-1.1585,11.031
-0.26636,3.204,4.5492,-0.72138,-1.2566,11.031
-0.27358,3.191,4.6596,-0.72138,-1.3547,11.031
-0.28076,3.17,4.8227,-0.71834,-1.4901,11.031
-0.28784,3.1546,4.933,-0.70746,-1.587,11.023
-0.29469,3.1382,5.0431,-0.68577,-1.6805,10.994
-0.30121,3.121,5.1527,-0.65203,-1.7672,10.923
-0.30728,3.1029,5.2614,-0.6064,-1.8437,10.793
-0.31278,3.0842,5.3683,-0.55024,-1.9065,10.587
-0.31764,3.0649,5.4728,-0.48577,-1.9525,10.293
-0.3218,3.0452,5.5739,-0.41577,-1.9793,9.9028
-0.32523,3.0253,5.6705,-0.34331,-1.9852,9.4163
-0.32794,3.0055,5.7619,-0.27144,-1.9692,8.838
-0.32997,2.986,5.847,-0.20299,-1.9312,8.1775
-0.33138,2.967,5.9252,-0.14034,-1.872,7.4492
-0.33223,2.9487,5.9958,-0.085276,-1.793,6.6706
-0.33262,2.9312,6.0585,-0.038942,-1.6964,5.8619
-0.33264,2.9148,6.113,-0.0017725,-1.5847,5.0441
-0.33237,2.8995,6.1594,0.026433,-1.4609,4.2385
-0.33191,2.8856,6.1979,0.046416,-1.3284,3.4651
-0.33132,2.873,6.2289,0.059314,-1.1906,2.742
-0.33065,2.8618,6.253,0.066495,-1.0509,2.0843
-0.32996,2.852,6.2709,0.069389,-0.91255,1.5038
-0.32926,2.8435,6.2833,0.069353,-0.77856,1.0081
-0.32859,2.8364,6.2913,0.067558,-0.65164,0.60113
-0.32794,2.8305,6.2957,0.064933,-0.53403,0.28237
-0.32732,2.8257,6.2972,0.062141,-0.42751,0.047647
-0.32672,2.8219,6.2969,0.059598,-0.33332,-0.1106
-0.32615,2.8189,6.2953,0.057515,-0.25217,-0.20268
-0.32559,2.8168,6.293,0.05595,-0.18421,-0.24083
-0.32504,2.8152,6.2906,0.054864,-0.12911,-0.23836
-0.3245,2.8141,6.2883,0.054169,-0.086092,-0.20868
-0.32396,2.8135,6.2864,0.05376,-0.053965,-0.16433
-0.32342,2.813,6.285,0.053544,-0.031257,-0.11613
-0.32289,2.8128,6.2841,0.053442,-0.016298,-0.072362
-0.32235,2.8127,6.2836,0.053403,-0.0073305,-0.038312
-0.32182,2.8126,6.2833,0.053391,-0.0026341,-0.016023
-0.32129,2.8126,6.2832,0.053389,-0.00064372,-0.0045183
-0.32075,2.8126,6.2832,0.053388,-6.8563E-05,-0.00055171
-0.32022,2.8126,6.2832,0.053388,-2.287E-07,-2.0995E-06
